tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad149fffff,25,25,8,0,51.49778510978601,-0.1138769318540569,531.415,"POLYGON ((-0.1126520884031156 51.50225956858746, -0.1193591262592725 51.50106627305865, -0.1205834895759697 51.4965915617412, -0.115101596407207 51.493310413263046, -0.1083956252177884 51.49450374995465, -0.1071704806419031 51.49897819394648, -0.1126520884031156 51.50225956858746))",7,True,True,True,82
88194ad14dfffff,38,38,8,0,51.499872513581074,-0.1260662704928833,531.415,"POLYGON ((-0.1248422085487067 51.50434723964876, -0.1315499392731926 51.50315326865882, -0.1327735209226602 51.4986782901182, -0.1272901536264001 51.4953975497755, -0.1205834895759697 51.4965915617412, -0.1193591262592725 51.50106627305865, -0.1248422085487067 51.50434723964876))",7,True,True,True,23
88194ad14bfffff,40,40,8,0,51.49002906827037,-0.1096205908713709,531.415,"POLYGON ((-0.1083956252177884 51.49450374995465, -0.115101596407207 51.493310413263046, -0.1163260821006756 51.48883547906034, -0.110845377640786 51.4855541489355, -0.1041404728531652 51.48674752688704, -0.1029152062350974 51.49122219368838, -0.1083956252177884 51.49450374995465))",7,True,True,True,32
88194ad337fffff,41,41,8,0,51.48794044111101,-0.0974356747907015,531.415,"POLYGON ((-0.0962099283729871 51.49241485535092, -0.1029152062350974 51.49122219368838, -0.1041404728531652 51.48674752688704, -0.0986612422372624 51.48346578923682, -0.09195703076919 51.484658492346284, -0.0907309836344751 51.48913289164394, -0.0962099283729871 51.49241485535092))",7,True,True,True,82
88194ad141fffff,48,48,8,0,51.49211661271493,-0.1218076740574709,531.415,"POLYGON ((-0.1205834895759697 51.4965915617412, -0.1272901536264001 51.4953975497755, -0.1285138579873327 51.49092234827387, -0.1230316797418314 51.48764142602171, -0.1163260821006756 51.48883547906034, -0.115101596407207 51.493310413263046, -0.1205834895759697 51.4965915617412))",7,True,True,True,35
88195da493fffff,57,57,8,0,51.50195883361918,-0.138257776061402,531.415,"POLYGON ((-0.137034496032085 51.506433826850625, -0.1437429191577654 51.505239180154575, -0.1449657187319727 51.50076393449329, -0.1394808773672925 51.497483602633494, -0.1327735209226602 51.4986782901182, -0.1315499392731926 51.50315326865882, -0.137034496032085 51.506433826850625))",7,True,True,True,48
88194ad145fffff,62,62,8,0,51.4942030738524,-0.1339969238240998,531.415,"POLYGON ((-0.1327735209226602 51.4986782901182, -0.1394808773672925 51.497483602633494, -0.1407037999878035 51.493008133935426, -0.1352201480155889 51.489727619903285, -0.1285138579873327 51.49092234827387, -0.1272901536264001 51.4953975497755, -0.1327735209226602 51.4986782901182))",7,True,True,True,121
88194ad15dfffff,64,64,8,0,51.48227262246419,-0.1053655605625786,531.415,"POLYGON ((-0.1041404728531652 51.48674752688704, -0.110845377640786 51.4855541489355, -0.1120699855640625 51.48107899199183, -0.1065904694014123 51.47779748046167, -0.0998866307507632 51.478990899770224, -0.0986612422372624 51.48346578923682, -0.1041404728531652 51.48674752688704))",0,True,True,True,17
88194ad159fffff,68,68,8,0,51.48018385544346,-0.0931828989083554,531.415,"POLYGON ((-0.09195703076919 51.484658492346284, -0.0986612422372624 51.48346578923682, -0.0998866307507632 51.478990899770224, -0.0944085880900646 51.47570898097732, -0.0877054427510653 51.476901725630704, -0.086479274055162 51.48137634751797, -0.09195703076919 51.484658492346284))",7,True,True,True,32
88194ad169fffff,86,86,8,0,51.49628845109052,-0.1461883396454525,531.415,"POLYGON ((-0.1449657187319727 51.50076393449329, -0.151673767103535 51.499568571244744, -0.1528959075757902 51.49509283545281, -0.1474107819362128 51.4918127299881, -0.1407037999878035 51.493008133935426, -0.1394808773672925 51.497483602633494, -0.1449657187319727 51.50076393449329))",7,True,True,True,132
