tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad301fffff,6,6,8,0,51.51269204625642,-0.0778910784930413,531.415,"POLYGON ((-0.0766634765709619 51.51716476636419, -0.0833709397865044 51.51597429537912, -0.0845980616945608 51.511501322590696, -0.0791185011283994 51.50821908827997, -0.0724121053432612 51.50940960088464, -0.0711842028055504 51.51388230616536, -0.0766634765709619 51.51716476636419))",7,True,True,True,247
88194ad309fffff,13,13,8,0,51.51835477356464,-0.0699561209186352,531.415,"POLYGON ((-0.0687278596443315 51.522827003040774, -0.0754356953239905 51.521637248561476, -0.0766634765709619 51.51716476636419, -0.0711842028055504 51.51388230616536, -0.0644774348133139 51.51507210235415, -0.0632488730108005 51.51954431701719, -0.0687278596443315 51.522827003040774))",7,True,True,True,379
88194ad303fffff,14,14,8,0,51.5049366577643,-0.0736398285699221,531.415,"POLYGON ((-0.0724121053432612 51.50940960088464, -0.0791185011283994 51.50821908827997, -0.0803457445152228 51.50374589247654, -0.0748673725236587 51.500463476846086, -0.0681620439033927 51.501654031167476, -0.0669340202214461 51.50612695938754, -0.0724121053432612 51.50940960088464))",7,True,True,True,71
88194ad347fffff,15,15,8,0,51.52610949280658,-0.0742077347139783,531.415,"POLYGON ((-0.0729795947027676 51.53058149905776, -0.0796884983356162 51.52939178619079, -0.080916158145192 51.52491952722091, -0.0754356953239905 51.521637248561476, -0.0687278596443315 51.522827003040774, -0.0674994189444663 51.52729899455204, -0.0729795947027676 51.53058149905776))",7,True,True,True,225
88194ad339fffff,17,17,8,0,51.49927245888795,-0.0815728086915922,531.415,"POLYGON ((-0.0803457445152228 51.50374589247654, -0.0870517678762369 51.502554663487544, -0.0882783522260914 51.4980809772564, -0.0827996936956561 51.49479878755601, -0.0760947372426226 51.495990058171785, -0.0748673725236587 51.500463476846086, -0.0803457445152228 51.50374589247654))",7,True,True,True,93
88194ad30bfffff,18,18,8,0,51.510599649797015,-0.0657058172041464,531.415,"POLYGON ((-0.0644774348133139 51.51507210235415, -0.0711842028055504 51.51388230616536, -0.0724121053432612 51.50940960088464, -0.0669340202214461 51.50612695938754, -0.0602283196509644 51.507316797382956, -0.0589996368922343 51.511789235053804, -0.0644774348133139 51.51507210235415))",7,True,True,True,80
88194ad343fffff,24,24,8,0,51.5240162937444,-0.062020131758408,531.415,"POLYGON ((-0.0607912110179501 51.528488032494096, -0.0674994189444663 51.52729899455204, -0.0687278596443315 51.522827003040774, -0.0632488730108005 51.51954431701719, -0.0565417330286851 51.520733396758665, -0.0553125118474823 51.525205120709224, -0.0607912110179501 51.528488032494096))",7,True,True,True,71
88194ad345fffff,27,27,8,0,51.53386380713774,-0.0784606591491936,531.415,"POLYGON ((-0.0772326405477215 51.53833559002005, -0.0839426123995701 51.537145918668216, -0.0851701506250179 51.53267388306964, -0.0796884983356162 51.52939178619079, -0.0729795947027676 51.53058149905776, -0.0717512752521504 51.53505326727331, -0.0772326405477215 51.53833559002005))",7,True,True,True,73
88194ad369fffff,28,28,8,0,51.535955783319295,-0.0906526916979714,531.415,"POLYGON ((-0.0894254545697169 51.540427833525314, -0.096136121670239 51.539237486815885, -0.0973628782614289 51.53476518393656, -0.0918797494981939 51.53148349503227, -0.0851701506250179 51.53267388306964, -0.0839426123995701 51.537145918668216, -0.0894254545697169 51.540427833525314))",0,True,True,True,8
88194ad355fffff,29,29,8,0,51.51626143485962,-0.0577707746975403,531.415,"POLYGON ((-0.0565417330286851 51.520733396758665, -0.0632488730108005 51.51954431701719, -0.0644774348133139 51.51507210235415, -0.0589996368922343 51.511789235053804, -0.0522935645886553 51.512978356691825, -0.0510642226393848 51.51745030371856, -0.0565417330286851 51.520733396758665))",7,True,True,True,124
88194ad315fffff,31,31,8,0,51.49718086517861,-0.069389888288111,531.415,"POLYGON ((-0.0681620439033927 51.501654031167476, -0.0748673725236587 51.500463476846086, -0.0760947372426226 51.495990058171785, -0.0706175534137373 51.492707461462736, -0.0639132916928855 51.49389805759787, -0.0626851470131253 51.49837120861323, -0.0681620439033927 51.501654031167476))",7,True,True,True,40
88194ad31dfffff,32,32,8,0,51.50284412188886,-0.0614568230118683,531.415,"POLYGON ((-0.0602283196509644 51.507316797382956, -0.0669340202214461 51.50612695938754, -0.0681620439033927 51.501654031167476, -0.0626851470131253 51.49837120861323, -0.0559805135987334 51.49956108851232, -0.0547517100301574 51.50403374904696, -0.0602283196509644 51.507316797382956))",0,True,True,True,15
88194ad341fffff,33,33,8,0,51.53177074805671,-0.0662707987808629,531.415,"POLYGON ((-0.0650419991153047 51.53624226351312, -0.0717512752521504 51.53505326727331, -0.0729795947027676 51.53058149905776, -0.0674994189444663 51.52729899455204, -0.0607912110179501 51.528488032494096, -0.0595621107512461 51.53295953322452, -0.0650419991153047 51.53624226351312))",7,True,True,True,60
88194ad33bfffff,36,36,8,0,51.49151640178316,-0.0773219227649566,531.415,"POLYGON ((-0.0760947372426226 51.495990058171785, -0.0827996936956561 51.49479878755601, -0.0840263995655383 51.490324878522436, -0.0785489291287639 51.487042507722066, -0.071845039318414 51.48823382006167, -0.0706175534137373 51.492707461462736, -0.0760947372426226 51.495990058171785))",7,True,True,True,53
88194ad357fffff,37,37,8,0,51.508506171787374,-0.0535227270395223,531.415,"POLYGON ((-0.0522935645886553 51.512978356691825, -0.0589996368922343 51.511789235053804, -0.0602283196509644 51.507316797382956, -0.0547517100301574 51.50403374904696, -0.0480467051393039 51.505222912678555, -0.0468172425682391 51.50969508263754, -0.0522935645886553 51.512978356691825))",0,True,True,True,16
88194ad35dfffff,42,42,8,0,51.52192201282585,-0.0498347011535044,531.415,"POLYGON ((-0.0486050000928295 51.52639348397196, -0.0553125118474823 51.525205120709224, -0.0565417330286851 51.520733396758665, -0.0510642226393848 51.51745030371856, -0.0443577788199999 51.51863870896778, -0.0431277775664507 51.52311016525556, -0.0486050000928295 51.52639348397196))",7,True,True,True,66
88195da693fffff,44,44,8,0,51.5416177161731,-0.0827148947834847,531.415,"POLYGON ((-0.0814869977385648 51.54608927554262, -0.0881980380752671 51.54489964560862, -0.0894254545697169 51.540427833525314, -0.0839426123995701 51.537145918668216, -0.0772326405477215 51.53833559002005, -0.0760044424930434 51.54280713479599, -0.0814869977385648 51.54608927554262))",7,True,True,True,31
