tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad143fffff,65,65,8,0,51.48436030721975,-0.1175503889724819,531.415,"POLYGON ((-0.1163260821006756 51.48883547906034, -0.1230316797418314 51.48764142602171, -0.124255506667133 51.48316600170335, -0.1187745170606921 51.47988489778317, -0.1120699855640625 51.48107899199183, -0.110845377640786 51.4855541489355, -0.1163260821006756 51.48883547906034))",7,True,True,True,50
88194ad147fffff,77,77,8,0,51.48644690911801,-0.1297373836137072,531.415,"POLYGON ((-0.1285138579873327 51.49092234827387, -0.1352201480155889 51.489727619903285, -0.1364431935351191 51.48525192831275, -0.1309607305435918 51.4819712323498, -0.124255506667133 51.48316600170335, -0.1230316797418314 51.48764142602171, -0.1285138579873327 51.49092234827387))",7,True,True,True,33
88194ad155fffff,91,91,8,0,51.47660359748126,-0.1132944146792765,531.415,"POLYGON ((-0.1120699855640625 51.48107899199183, -0.1187745170606921 51.47988489778317, -0.1199984664033532 51.47540925079247, -0.1145186650244543 51.47212796544567, -0.1078151994077165 51.47332210092135, -0.1065904694014123 51.47779748046167, -0.1120699855640625 51.48107899199183))",7,True,True,True,28
88194ad16bfffff,92,92,8,0,51.4885324275668,-0.1419265439609729,531.415,"POLYGON ((-0.1407037999878035 51.493008133935426, -0.1474107819362128 51.4918127299881, -0.1486330456422775 51.48733677122789, -0.1431491093248555 51.484056483569475, -0.1364431935351191 51.48525192831275, -0.1352201480155889 51.489727619903285, -0.1407037999878035 51.493008133935426))",7,True,True,True,47
88194ad109fffff,99,99,8,0,51.47869033980178,-0.1254791548713669,531.415,"POLYGON ((-0.124255506667133 51.48316600170335, -0.1309607305435918 51.4819712323498, -0.1321838988150199 51.477495318011115, -0.126702624392607 51.474214440358836, -0.1199984664033532 51.47540925079247, -0.1187745170606921 51.47988489778317, -0.124255506667133 51.48316600170335))",7,True,True,True,37
88194ad10dfffff,113,113,8,0,51.48077599912259,-0.1376660604207651,531.415,"POLYGON ((-0.1364431935351191 51.48525192831275, -0.1431491093248555 51.484056483569475, -0.1443714961174301 51.479580301985344, -0.1388887487105007 51.476299832374764, -0.1321838988150199 51.477495318011115, -0.1309607305435918 51.4819712323498, -0.1364431935351191 51.48525192831275))",7,True,True,True,31
88194ad157fffff,128,128,8,0,51.468846483885166,-0.1090397506195272,531.415,"POLYGON ((-0.1078151994077165 51.47332210092135, -0.1145186650244543 51.47212796544567, -0.1157427366376335 51.46765209592697, -0.1102641230749074 51.46437062939497, -0.1035617230734389 51.46556480623466, -0.1023368711308112 51.47004040822724, -0.1078151994077165 51.47332210092135))",7,True,True,True,26
88194ad10bfffff,129,129,8,0,51.47093336628952,-0.121222237038498,531.415,"POLYGON ((-0.1199984664033532 51.47540925079247, -0.126702624392607 51.474214440358836, -0.1279259152688419 51.46973830341643, -0.1224458290041504 51.466457244316224, -0.1157427366376335 51.46765209592697, -0.1145186650244543 51.47212796544567, -0.1199984664033532 51.47540925079247))",7,True,True,True,27
88194ad163fffff,132,132,8,0,51.48286057485178,-0.1498551308016875,531.415,"POLYGON ((-0.1486330456422775 51.48733677122789, -0.1553396528781964 51.486140650850174, -0.1565612577844051 51.48166420212321, -0.1510770374524541 51.47838414090162, -0.1443714961174301 51.479580301985344, -0.1431491093248555 51.484056483569475, -0.1486330456422775 51.48733677122789))",7,True,True,True,32
88194ad167fffff,162,162,8,0,51.4849440663973,-0.1620463654874471,531.415,"POLYGON ((-0.160825062461839 51.489420529856766, -0.1675323606764143 51.488223733599966, -0.1687531832887198 51.4837470178329, -0.1632674900917246 51.4804673653475, -0.1565612577844051 51.48166420212321, -0.1553396528781964 51.486140650850174, -0.160825062461839 51.489420529856766))",0,True,True,True,13
