tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad131fffff,271,271,8,0,51.45391543673716,-0.1449995125509388,531.415,"POLYGON ((-0.1437777166706853 51.45839279064468, -0.1504807528409356 51.45719583172938, -0.1517020690036068 51.45271822550466, -0.1462211300632049 51.44943784552358, -0.1395191587439313 51.45063484534612, -0.1382970616253158 51.455112184227374, -0.1437777166706853 51.45839279064468))",7,True,True,True,24
88194ad135fffff,286,286,8,0,51.45599840900744,-0.157183894405954,531.415,"POLYGON ((-0.155962879728727 51.46047603019894, -0.162666606384923 51.45927839590817, -0.1638871411846876 51.454800522442646, -0.1584047308023641 51.45152055049356, -0.1517020690036068 51.45271822550466, -0.1504807528409356 51.45719583172938, -0.155962879728727 51.46047603019894))",0,True,True,True,3
89194ad1303ffff,271,271-0,9,1,51.453915436737155,-0.14499951255092347,200.821,"POLYGON ((-0.1454334385644303 51.45566334542354, -0.1475230162355569 51.45468170208256, -0.1470890260490293 51.4529337720488, -0.1445656146636867 51.45216750589676, -0.1424761311564132 51.453149128636525, -0.1429099648710329 51.45489703812811, -0.1454334385644303 51.45566334542354))",0,True,True,,4
89194ad1307ffff,271,271-1,9,1,51.45140119699357,-0.14204232556170146,200.821,"POLYGON ((-0.1424761311564132 51.453149128636525, -0.1445656146636867 51.45216750589676, -0.1441317449000218 51.450419552905444, -0.1416085480841696 51.44965324320241, -0.1395191587439313 51.45063484534612, -0.1399528720529044 51.4523827777875, -0.1424761311564132 51.453149128636525))",0,True,True,,0
89194ad130bffff,271,271-2,9,1,51.453699995442776,-0.14961255971685955,200.821,"POLYGON ((-0.1500466422093821 51.455447924665776, -0.1521362156661995 51.45446617607181, -0.1517020690035915 51.45271822550466, -0.1491785053606332 51.45195204406347, -0.1470890260490293 51.4529337720488, -0.1475230162355569 51.45468170208256, -0.1500466422093821 51.455447924665776))",0,True,True,,4
89194ad130fffff,271,271-3,9,1,51.451185819861436,-0.14665506399249165,200.821,"POLYGON ((-0.1470890260490293 51.4529337720488, -0.1491785053606332 51.45195204406347, -0.1487444791380861 51.45020407053097, -0.1462211300631998 51.449437845523576, -0.1441317449000218 51.450419552905444, -0.1445656146636867 51.45216750589676, -0.1470890260490293 51.4529337720488))",0,True,True,,8
89194ad1313ffff,271,271-4,9,1,51.45664492546523,-0.1433438267082431,200.821,"POLYGON ((-0.14377771667067 51.458392790644695, -0.1458673927069 51.45741123195272, -0.1454334385644303 51.45566334542354, -0.1429099648710329 51.45489703812811, -0.1408203830140704 51.45587857622114, -0.1412541806716322 51.457626442207115, -0.14377771667067 51.458392790644695))",0,True,True,,1
89194ad1317ffff,271,271-5,9,1,51.454130688080234,-0.1403866134753987,200.821,"POLYGON ((-0.1408203830140704 51.45587857622114, -0.1429099648710329 51.45489703812811, -0.1424761311564132 51.453149128636525, -0.1399528720529044 51.4523827777875, -0.1378633843783897 51.453364295286754, -0.1382970616253158 51.455112184227374, -0.1408203830140704 51.45587857622114))",0,True,True,,9
89194ad131bffff,271,271-6,9,1,51.456429609959585,-0.14795703455471165,200.821,"POLYGON ((-0.1483910810091974 51.458177495676715, -0.1504807528409356 51.45719583172938, -0.1500466422093821 51.455447924665776, -0.1475230162355569 51.45468170208256, -0.1454334385644303 51.45566334542354, -0.1458673927069 51.45741123195272, -0.1483910810091974 51.458177495676715))",0,True,True,,1
