tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad101fffff,137,137,8,0,51.47301916614386,-0.1334068884659699,531.415,"POLYGON ((-0.1321838988150199 51.477495318011115, -0.1388887487105007 51.476299832374764, -0.1401112584423824 51.47182342811114, -0.1346296995344931 51.46854277678993, -0.1279259152688419 51.46973830341643, -0.126702624392607 51.474214440358836, -0.1321838988150199 51.477495318011115))",7,True,True,True,48.0
88194ad105fffff,157,157,8,0,51.475103882856295,-0.1455937043767385,531.415,"POLYGON ((-0.1443714961174301 51.479580301985344, -0.1510770374524541 51.47838414090162, -0.1522987656325332 51.47390746941933, -0.1468157341407519 51.470627226224245, -0.1401112584423824 51.47182342811114, -0.1388887487105007 51.476299832374764, -0.1443714961174301 51.479580301985344))",7,True,True,True,53.0
88194ad103fffff,174,174,8,0,51.46526192901647,-0.1291490275381119,531.415,"POLYGON ((-0.1279259152688419 51.46973830341643, -0.1346296995344931 51.46854277678993, -0.135852332058555 51.46406614999123, -0.1303719612383927 51.460785317200894, -0.1236692423382996 51.46198088491453, -0.1224458290041504 51.466457244316224, -0.1279259152688419 51.46973830341643))",7,True,True,True,35.0
88194ad107fffff,183,183,8,0,51.467346786373625,-0.141333589654386,531.415,"POLYGON ((-0.1401112584423824 51.47182342811114, -0.1468157341407519 51.470627226224245, -0.1480375854474834 51.466150332131114, -0.1425557423844994 51.46286990720415, -0.135852332058555 51.46406614999123, -0.1346296995344931 51.46854277678993, -0.1401112584423824 51.47182342811114))",7,True,True,True,31.0
88194ad12bfffff,204,204,8,0,51.46943056044684,-0.1535203153799794,531.415,"POLYGON ((-0.1522987656325332 51.47390746941933, -0.1590039322967846 51.472710592027454, -0.1602250019789179 51.46823343074251, -0.1547416867326952 51.46495341402605, -0.1480375854474834 51.466150332131114, -0.1468157341407519 51.470627226224245, -0.1522987656325332 51.47390746941933))",7,True,True,True,40.0
88194ad139fffff,221,221,8,0,51.45958928578974,-0.1370747860761834,531.415,"POLYGON ((-0.135852332058555 51.46406614999123, -0.1425557423844994 51.46286990720415, -0.1437777166706853 51.45839279064468, -0.1382970616253158 51.455112184227374, -0.1315947164076863 51.456308468011656, -0.1303719612383927 51.460785317200894, -0.135852332058555 51.46406614999123))",7,True,True,True,70.0
88194ad13dfffff,236,236,8,0,51.46167320061884,-0.1492592583348762,531.415,"POLYGON ((-0.1480375854474834 51.466150332131114, -0.1547416867326952 51.46495341402605, -0.155962879728727 51.46047603019894, -0.1504807528409356 51.45719583172938, -0.1437777166706853 51.45839279064468, -0.1425557423844994 51.46286990720415, -0.1480375854474834 51.466150332131114))",0,True,True,True,6.0
89194ad1003ffff,137,137-0,9,1,51.473019166143885,-0.1334068884659853,200.821,"POLYGON ((-0.1338405619538631 51.47476677015881, -0.1359308282982225 51.47378571945789, -0.135497090588306 51.472038094079494, -0.1329732430972968 51.47127153994986, -0.1308830710247006 51.472252570065365, -0.1313166521717194 51.47400017489449, -0.1338405619538631 51.47476677015881))",0,True,True,,5.0
89194ad1007ffff,137,137-1,9,1,51.470504943059886,-0.13044951799053645,200.821,"POLYGON ((-0.1308830710247006 51.472252570065365, -0.1329732430972968 51.47127153994986, -0.1325396258451456 51.46952389157992, -0.1300159930664682 51.468757293881126, -0.1279259152688419 51.46973830341643, -0.1283593759753133 51.471485931229296, -0.1308830710247006 51.472252570065365))",0,True,True,,0.0
89194ad100bffff,137,137-2,9,1,51.47280460544181,-0.13802106046263332,200.821,"POLYGON ((-0.1384548905205833 51.474552230000526, -0.1405451527194235 51.47357107403001, -0.1401112584423823 51.471823428111136, -0.1375872585339878 51.47105695870183, -0.135497090588306 51.472038094079494, -0.1359308282982225 51.47378571945789, -0.1384548905205833 51.474552230000526))",0,True,True,,3.0
89194ad100fffff,137,137-3,9,1,51.47029044652244,-0.1350633810012922,200.821,"POLYGON ((-0.135497090588306 51.472038094079494, -0.1375872585339878 51.47105695870183, -0.1371534847319325 51.469309289783624, -0.134629699534483 51.46854277678993, -0.1325396258451456 51.46952389157992, -0.1329732430972968 51.47127153994986, -0.135497090588306 51.472038094079494))",0,True,True,,2.0
89194ad1013ffff,137,137-4,9,1,51.47574775754411,-0.13175026143424956,200.821,"POLYGON ((-0.1321838988150199 51.477495318011115, -0.1342742635636488 51.47651435199154, -0.1338405619538631 51.47476677015881, -0.1313166521717194 51.47400017489449, -0.1292263817102798 51.47498112033091, -0.1296599267441746 51.47672868161338, -0.1321838988150199 51.477495318011115))",0,True,True,,16.0
89194ad1017ffff,137,137-5,9,1,51.47323353686852,-0.12879286478821833,200.821,"POLYGON ((-0.1292263817102798 51.47498112033091, -0.1313166521717194 51.47400017489449, -0.1308830710247006 51.472252570065365, -0.1283593759753133 51.471485931229296, -0.1262691998042631 51.472466856087756, -0.1267026243925968 51.47421444035883, -0.1292263817102798 51.47498112033091))",0,True,True,,0.0
89194ad101bffff,137,137-6,9,1,51.475533322654535,-0.1363645941337554,200.821,"POLYGON ((-0.1367983880975575 51.47728090366629, -0.1388887487105007 51.476299832374764, -0.1384548905205833 51.474552230000526, -0.1359308282982225 51.47378571945789, -0.1338405619538631 51.47476677015881, -0.1342742635636488 51.47651435199154, -0.1367983880975575 51.47728090366629))",0,True,True,,2.0
89194ad1043ffff,157,157-0,9,1,51.475103882856295,-0.1455937043767334,200.821,"POLYGON ((-0.1460278115192914 51.47685150493121, -0.1481181637754537 51.475870223080584, -0.1476839924126514 51.47412257964972, -0.1451596253826111 51.47335623859198, -0.1430693673577583 51.47433749983714, -0.1435033821320216 51.47608512274408, -0.1460278115192914 51.47685150493121))",0,True,True,,6.0
89194ad1047ffff,157,157-1,9,1,51.47258985474348,-0.1426353807255478,200.821,"POLYGON ((-0.1430693673577583 51.47433749983714, -0.1451596253826111 51.47335623859198, -0.1447255745342292 51.47160857214142, -0.142201422232711 51.47084218746626, -0.1401112584423823 51.471823428111136, -0.1405451527194235 51.47357107403001, -0.1430693673577583 51.47433749983714))",0,True,True,,0.0
89194ad104bffff,157,157-2,9,1,51.474888877909805,-0.150208481814788,200.821,"POLYGON ((-0.150642745553012 51.476636520503085, -0.1527330935880767 51.475655133365294, -0.1522987656325332 51.47390746941933, -0.1497742462350549 51.47314121312483, -0.1476839924126514 51.47412257964972, -0.1481181637754537 51.475870223080584, -0.150642745553012 51.476636520503085))",0,True,True,,14.0
89194ad104fffff,157,157-3,9,1,51.47237491402991,-0.14724984920198778,200.821,"POLYGON ((-0.1476839924126514 51.47412257964972, -0.1497742462350549 51.47314121312483, -0.1493400388111529 51.47139352615137, -0.1468157341407417 51.470627226224266, -0.1447255745342292 51.47160857214142, -0.1451596253826111 51.47335623859198, -0.1476839924126514 51.47412257964972))",0,True,True,,0.0
89194ad1053ffff,157,157-4,9,1,51.47783272346119,-0.14393742505099674,200.821,"POLYGON ((-0.1443714961174353 51.479580301985344, -0.1464619468129598 51.47859910481359, -0.1460278115192914 51.47685150493121, -0.1435033821320216 51.47608512274408, -0.1414130256832327 51.477066299312646, -0.1418470043753436 51.47881387867009, -0.1443714961174353 51.479580301985344))",0,True,True,,7.0
89194ad1057ffff,157,157-5,9,1,51.4753186977649,-0.14097907513215072,200.821,"POLYGON ((-0.1414130256832327 51.477066299312646, -0.1435033821320216 51.47608512274408, -0.1430693673577583 51.47433749983714, -0.1405451527194235 51.47357107403001, -0.1384548905205833 51.474552230000526, -0.1388887487105007 51.476299832374764, -0.1414130256832327 51.477066299312646))",7,True,True,,22.0
89194ad105bffff,157,157-6,9,1,51.47761784431933,-0.14855236329306953,200.821,"POLYGON ((-0.1489865909681797 51.4793654433629, -0.1510770374524541 51.47838414090162, -0.150642745553012 51.476636520503085, -0.1481181637754537 51.475870223080584, -0.1460278115192914 51.47685150493121, -0.1464619468129598 51.47859910481359, -0.1489865909681797 51.4793654433629))",0,True,True,,10.0
