tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad02bfffff,220,220,8,0,51.45482141368316,-0.0682586894606349,531.415,"POLYGON ((-0.0670316780157011 51.45929644985964, -0.0737319981311343 51.458104295864196, -0.074958530632293 51.45362900707412, -0.0694855219026646 51.45034614017286, -0.0627862671132262 51.45153833618964, -0.0615589558387953 51.45601335707132, -0.0670316780157011 51.45929644985964))",0,True,True,True,8
88194ad007fffff,252,252,8,0,51.45273006904994,-0.0560871200051518,531.415,"POLYGON ((-0.0548593299474315 51.4572048372752, -0.0615589558387953 51.45601335707132, -0.0627862671132262 51.45153833618964, -0.0573147309734754 51.44825506350722, -0.0506161703992142 51.44944658591914, -0.0493880807589756 51.45392133879044, -0.0548593299474315 51.4572048372752))",0,True,True,True,6
88194ad023fffff,254,254,8,0,51.44915348096299,-0.0761848841928441,531.415,"POLYGON ((-0.074958530632293 51.45362900707412, -0.0816584791731711 51.45243613720756, -0.0828843538032109 51.44796035852346, -0.0774110588508328 51.44467771757279, -0.0707121753798186 51.445870629370646, -0.0694855219026646 51.45034614017286, -0.074958530632293 51.45362900707412))",0,True,True,True,5
88194ad00bfffff,268,268,8,0,51.45630248905865,-0.035990326574559,531.415,"POLYGON ((-0.0347611004620511 51.460776499147975, -0.0414604020784892 51.45958640827683, -0.0426891495552647 51.455112145447764, -0.0372193734110353 51.45182824161353, -0.0305211373580901 51.45301837496944, -0.029291611997345 51.457492369659825, -0.0347611004620511 51.460776499147975))",0,True,True,True,19
88194ad03dfffff,277,277,8,0,51.44706307800327,-0.0640133993605304,531.415,"POLYGON ((-0.0627862671132262 51.45153833618964, -0.0694855219026646 51.45034614017286, -0.0707121753798186 51.445870629370646, -0.0652403526187359 51.44258758255416, -0.0585421628904948 51.44377982068897, -0.0573147309734754 51.44825506350722, -0.0627862671132262 51.45153833618964))",0,True,True,True,6
88194ad003fffff,283,283,8,0,51.45063764527568,-0.0439177178182341,531.415,"POLYGON ((-0.0426891495552647 51.455112145447764, -0.0493880807589756 51.45392133879044, -0.0506161703992142 51.44944658591914, -0.0451461069054515 51.44616290780254, -0.0384482410095934 51.44735375685458, -0.0372193734110353 51.45182824161353, -0.0426891495552647 51.455112145447764))",0,True,True,True,15
88194ad057fffff,303,303,8,0,51.45420804538008,-0.0238230098398686,531.415,"POLYGON ((-0.0225930060041114 51.458681787288036, -0.029291611997345 51.457492369659825, -0.0305211373580901 51.45301837496944, -0.0250528343133846 51.449734066132756, -0.018355293873862 51.450923526432355, -0.0171249910367978 51.45539725288228, -0.0225930060041114 51.458681787288036))",0,True,True,True,13
88194ad039fffff,305,305,8,0,51.44497159575954,-0.0518440809259139,531.415,"POLYGON ((-0.0506161703992142 51.44944658591914, -0.0573147309734754 51.44825506350722, -0.0585421628904948 51.44377982068897, -0.0530718123771213 51.440496368353585, -0.0463743168550024 51.44168793307023, -0.0451461069054515 51.44616290780254, -0.0506161703992142 51.44944658591914))",0,True,True,True,9
88194ad035fffff,309,309,8,0,51.44139488131849,-0.0719386499301773,531.415,"POLYGON ((-0.0707121753798186 51.445870629370646, -0.0774110588508328 51.44467771757279, -0.0786370546442649 51.44020171694541, -0.073164945591736 51.43691889605838, -0.0664671269259229 51.438111849884294, -0.0652403526187359 51.44258758255416, -0.0707121753798186 51.445870629370646))",0,True,True,True,7
88194ad01dfffff,318,318,8,0,51.44854414295243,-0.0317504834187575,531.415,"POLYGON ((-0.0305211373580901 51.45301837496944, -0.0372193734110353 51.45182824161353, -0.0384482410095934 51.44735375685458, -0.0329796502174246 51.444069673650716, -0.0262824794627502 51.44525984958796, -0.0250528343133846 51.449734066132756, -0.0305211373580901 51.45301837496944))",0,True,True,True,4
88194ad031fffff,333,333,8,0,51.43930434063716,-0.0597694157942427,531.415,"POLYGON ((-0.0585421628904948 51.44377982068897, -0.0652403526187359 51.44258758255416, -0.0664671269259229 51.438111849884294, -0.0609964897227483 51.43482862339374, -0.0542993647908839 51.43602090374326, -0.0530718123771213 51.440496368353585, -0.0585421628904948 51.44377982068897))",7,True,True,True,23
88194ad015fffff,336,336,8,0,51.4428790348237,-0.0396769294083022,531.415,"POLYGON ((-0.0384482410095934 51.44735375685458, -0.0451461069054515 51.44616290780254, -0.0463743168550024 51.44168793307023, -0.0409054386452267 51.438404075562836, -0.0342086377921596 51.43959496710627, -0.0329796502174246 51.444069673650716, -0.0384482410095934 51.44735375685458))",0,True,True,True,18
88194ad1cbfffff,338,338,8,0,51.43572547912288,-0.0798628716111674,531.415,"POLYGON ((-0.0786370546442649 51.44020171694541, -0.0853355665804932 51.4390080893983, -0.0865609048037718 51.4345315990412, -0.0810885097895332 51.431249004147176, -0.074391062402496 51.432442673632266, -0.073164945591736 51.43691889605838, -0.0786370546442649 51.44020171694541))",0,True,True,True,1
88194ad053fffff,347,347,8,0,51.452112523888,-0.0116578622805697,531.415,"POLYGON ((-0.010427081129307 51.45658599751281, -0.0171249910367978 51.45539725288228, -0.018355293873862 51.450923526432355, -0.0128884639834781 51.4476388129402, -0.0061916196195386 51.44882760042873, -0.0049605397138955 51.453301058536475, -0.010427081129307 51.45658599751281))",7,True,True,True,21
88194ad019fffff,357,357,8,0,51.44644956267221,-0.0195854173246529,531.415,"POLYGON ((-0.018355293873862 51.450923526432355, -0.0250528343133846 51.449734066132756, -0.0262824794627502 51.44525984958796, -0.0208153614272817 51.44197536164374, -0.0141188862761163 51.44316486471132, -0.0128884639834781 51.4476388129402, -0.018355293873862 51.450923526432355))",7,True,True,True,44
88194ad03bfffff,361,361,8,0,51.43721272112074,-0.0476023477049228,531.415,"POLYGON ((-0.0463743168550024 51.44168793307023, -0.0530718123771213 51.440496368353585, -0.0542993647908839 51.43602090374326, -0.0488301994932652 51.432737271996025, -0.0421337687584176 51.433928879113985, -0.0409054386452267 51.438404075562836, -0.0463743168550024 51.44168793307023))",7,True,True,True,25
88194ad037fffff,364,364,8,0,51.4336358800356,-0.067693722320081,531.415,"POLYGON ((-0.0664671269259229 51.438111849884294, -0.073164945591736 51.43691889605838, -0.074391062402496 51.432442673632266, -0.0689201388392215 51.42915967305013, -0.0622233847140259 51.430352669000705, -0.0609964897227483 51.43482862339374, -0.0664671269259229 51.438111849884294))",0,True,True,True,4
88194ad011fffff,372,372,8,0,51.44078539578764,-0.0275119453260631,531.415,"POLYGON ((-0.0262824794627502 51.44525984958796, -0.0329796502174246 51.444069673650716, -0.0342086377921596 51.43959496710627, -0.0287412319413965 51.43631070477373, -0.022045126219825 51.43750092338894, -0.0208153614272817 51.44197536164374, -0.0262824794627502 51.44525984958796))",0,True,True,True,15
88194ad033fffff,381,381,8,0,51.43154520197048,-0.0555267382052556,531.415,"POLYGON ((-0.0542993647908839 51.43602090374326, -0.0609964897227483 51.43482862339374, -0.0622233847140259 51.430352669000705, -0.0567539326582355 51.427069263077286, -0.0500578722580829 51.428261585738056, -0.0488301994932652 51.432737271996025, -0.0542993647908839 51.43602090374326))",0,True,True,True,17
88194ad017fffff,392,392,8,0,51.43512002336098,-0.0354374461810221,531.415,"POLYGON ((-0.0342086377921596 51.43959496710627, -0.0409054386452267 51.438404075562836, -0.0421337687584176 51.433928879113985, -0.0366660754220676 51.43064484245687, -0.0299703393467937 51.43183577658819, -0.0287412319413965 51.43631070477373, -0.0342086377921596 51.43959496710627))",0,True,True,True,5
88194ad1ddfffff,393,393,8,0,51.42796621408216,-0.075617000400475,531.415,"POLYGON ((-0.074391062402496 51.432442673632266, -0.0810885097895332 51.431249004147176, -0.0823139692173663 51.426772292060285, -0.0768427596236668 51.423489517450115, -0.0701463765213668 51.42468322896985, -0.0689201388392215 51.42915967305013, -0.074391062402496 51.432442673632266))",0,True,True,True,2
88194ad2a5fffff,399,399,8,0,51.44435390502713,-0.0074225200528453,531.415,"POLYGON ((-0.0061916196195386 51.44882760042873, -0.0128884639834781 51.4476388129402, -0.0141188862761163 51.44316486471132, -0.00865324105193 51.43987997237364, -0.0019574619660973 51.4410688028167, -0.0007262629377753 51.44554248262799, -0.0061916196195386 51.44882760042873))",0,True,True,True,18
88194ad01bfffff,410,410,8,0,51.43869067924331,-0.0153491291965795,531.415,"POLYGON ((-0.0141188862761163 51.44316486471132, -0.0208153614272817 51.44197536164374, -0.022045126219825 51.43750092338894, -0.0165791927829646 51.434216256578104, -0.0098837826548721 51.43540580251016, -0.00865324105193 51.43987997237364, -0.0141188862761163 51.44316486471132))",0,True,True,True,10
88194ad0edfffff,415,415,8,0,51.42945344551905,-0.0433619197859216,531.415,"POLYGON ((-0.0421337687584176 51.433928879113985, -0.0488301994932652 51.432737271996025, -0.0500578722580829 51.428261585738056, -0.0445898917657767 51.42497777482009, -0.0378945255533678 51.42616942443591, -0.0366660754220676 51.43064484245687, -0.0421337687584176 51.433928879113985))",0,True,True,True,15
