tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
88194ad133fffff,313.0,313,8,0,51.44615727,-0.140741077,531.415,"POLYGON ((-0.1395191587439313 51.45063484534612, -0.1462211300632049 51.44943784552358, -0.1474425692454042 51.444960017045915, -0.1419628178414887 51.44167945579488, -0.1352619111093051 51.44287649662158, -0.1340396913051884 51.447354057680016, -0.1395191587439313 51.45063484534612))",0,True,True,True,8
88194adacbfffff,335.0,335,8,0,51.45032241,-0.165107498,531.415,"POLYGON ((-0.1638871411846876 51.454800522442646, -0.1705904929961528 51.453602171998696, -0.1718103697142086 51.44912380899049, -0.166327676167437 51.44584406362495, -0.1596253889558694 51.447042454699286, -0.1584047308023641 51.45152055049356, -0.1638871411846876 51.454800522442646))",0,True,True,True,4
88194adac3fffff,380.0,380,8,0,51.44464521,-0.173030068,531.415,"POLYGON ((-0.1718103697142086 51.44912380899049, -0.1785133464653146 51.44792474242598, -0.1797325652162476 51.44344588997079, -0.1742495888350693 51.440166371251884, -0.1675476764262402 51.44136547835678, -0.166327676167437 51.44584406362495, -0.1718103697142086 51.44912380899049))",0,True,True,True,8
89194ad1363ffff,,319-0,9,1,51.44824038198672,-0.15292320686081096,200.821,"POLYGON ((-0.1533573614054494 51.44998839820384, -0.1554467381292035 51.44900648033053, -0.1550125194285098 51.447258442773865, -0.1524890804545304 51.44649234362044, -0.1503997978451653 51.44747424088059, -0.1508338600957604 51.44922225790593, -0.1533573614054494 51.44998839820384))",0,True,True,,0
89194ad136bffff,,319-2,9,1,51.44802449916221,-0.15753608064759578,200.821,"POLYGON ((-0.1579703916494336 51.449772535905154, -0.1600597641108369 51.4487905127785, -0.1596253889558694 51.447042454699286, -0.1571017977941354 51.446276440267816, -0.1550125194285098 51.447258442773865, -0.1554467381292035 51.44900648033053, -0.1579703916494336 51.449772535905154))",0,True,True,,0
89194ad136fffff,,319-3,9,1,51.44551038306848,-0.15457832886983675,200.821,"POLYGON ((-0.1550125194285098 51.447258442773865, -0.1571017977941354 51.446276440267816, -0.1566675430864042 51.44452835922519, -0.154144166450511 51.44376230121755, -0.1520549821838735 51.44474428310817, -0.1524890804545304 51.44649234362044, -0.1550125194285098 51.447258442773865))",0,True,True,,5
89194ad1373ffff,,319-4,9,1,51.450970252781644,-0.15126795048100458,200.821,"POLYGON ((-0.1517020690035915 51.45271822550466, -0.1537915440910938 51.4517363922687, -0.1533573614054494 51.44998839820384, -0.1508338600957604 51.44922225790593, -0.1487444791380861 51.45020407053097, -0.1491785053606332 51.45195204406347, -0.1517020690035915 51.45271822550466))",0,True,True,,0
89194ad1377ffff,,319-5,9,1,51.44845607484848,-0.1483104810464841,200.821,"POLYGON ((-0.1487444791380861 51.45020407053097, -0.1508338600957604 51.44922225790593, -0.1503997978451653 51.44747424088059, -0.1478765110831544 51.44670805701906, -0.1457872242584865 51.44768984903839, -0.1462211300631998 51.449437845523576, -0.1487444791380861 51.45020407053097))",0,True,True,,5
89194ad137bffff,,319-6,9,1,51.45075449573535,-0.1558809849745916,200.821,"POLYGON ((-0.1563152599674094 51.45250248898522, -0.1584047308023641 51.45152055049356, -0.1579703916494336 51.449772535905154, -0.1554467381292035 51.44900648033053, -0.1533573614054494 51.44998839820384, -0.1537915440910938 51.4517363922687, -0.1563152599674094 51.45250248898522))",0,True,True,,0
89194adad83ffff,,359-0,9,1,51.440481951346165,-0.14866383013554035,200.821,"POLYGON ((-0.1490977798743934 51.44223005693846, -0.1511868700388001 51.44124809565809, -0.1507528561590028 51.439499968726594, -0.1482299085178823 51.43873382361995, -0.1461409124589103 51.43971576429523, -0.1465747699359744 51.44146387068084, -0.1490977798743934 51.44223005693846))",0,True,True,,4
89194adad87ffff,,359-1,9,1,51.4379676357784,-0.14570708309666705,200.821,"POLYGON ((-0.1461409124589103 51.43971576429523, -0.1482299085178823 51.43873382361995, -0.1477960150187935 51.43698567376296, -0.1452732818466297 51.43621948513349, -0.1431843798962726 51.437201405208896, -0.1436181170098155 51.43894953451222, -0.1461409124589103 51.43971576429523))",0,True,True,,0
89194adad8bffff,,359-2,9,1,51.440266071091465,-0.15327592601912216,200.821,"POLYGON ((-0.1537100321678339 51.44201419722417, -0.1557991180973429 51.44103213070772, -0.1553649478106151 51.439283983239115, -0.1528418480016931 51.43851792282265, -0.1507528561590028 51.439499968726594, -0.1511868700388001 51.44124809565809, -0.1537100321678339 51.44201419722417))",0,True,True,,12
