Orientation,WWR,Angle,Shading Type,sDA,BlindClosed,Heating Penalty,Cooling Benefit,Total Energy
E,60,10,Vertical,0.45414,0.417808,-0.22664930555555568,0.4478774836033955,0.21512034138735558
E,60,15,Vertical,0.44586,0.413425,-0.20312500000000017,0.39989330150463026,0.19133577181444159
E,60,20,Vertical,0.45834,0.403288,-0.18559027777777795,0.36789882330246965,0.1772752318315577
E,60,25,Vertical,0.45834,0.39726,-0.16805555555555574,0.3359043451003091,0.16321469184867382
E,60,30,Vertical,0.47502,0.38274,-0.15052083333333352,0.3039098668981485,0.14915415186578992
E,60,35,Vertical,0.47082,0.38274,-0.13506944444444455,0.2768735532407408,0.13788907255653643
E,60,40,Vertical,0.47916,0.372603,-0.11961805555555557,0.24983723958333315,0.12662399324728296
E,60,45,Vertical,0.48336,0.360274,-0.10416666666666662,0.22280092592592549,0.11535891393802947
E,65,5,Eggcrate,0.54582,0.375342,-0.19374999999999992,0.5023570119598763,0.30008675365479087
E,65,10,Eggcrate,0.59166,0.347945,-0.14453125,0.370988257137345,0.22020480896610697
E,65,15,Eggcrate,0.67084,0.306027,-0.09531250000000005,0.23961950231481371,0.14032286427742308
E,65,20,Eggcrate,0.69168,0.272603,-0.05763888888888894,0.151261694637345,0.09103799575610434
E,65,25,Eggcrate,0.68332,0.230411,-0.019965277777777832,0.06290388695987631,0.04175312723478561
E,65,30,Eggcrate,0.68332,0.210959,0.017708333333333263,-0.02545392071759238,-0.007531741286533122
E,65,35,Eggcrate,0.675,0.164384,0.049045138888888784,-0.08816189236111092,-0.03803678823901799
E,65,40,Eggcrate,0.675,0.132329,0.0803819444444443,-0.15086986400462948,-0.06854183519150285
E,65,45,Eggcrate,0.65,0.100548,0.11171874999999984,-0.213577835648148,-0.09904688214398771
E,65,5,Horizontal,0.56664,0.375342,-0.2157118055555555,0.5371093750000001,0.3125241796504067
E,65,10,Horizontal,0.62916,0.347945,-0.18845486111111118,0.44049298321759267,0.2450796609573386
E,65,15,Horizontal,0.71668,0.306027,-0.16119791666666683,0.3438765914351853,0.1776351422642705
E,65,20,Horizontal,0.74584,0.280822,-0.13411458333333345,0.26763539255401225,0.1298344646478856
E,65,25,Horizontal,0.81668,0.230411,-0.10703125000000005,0.19139419367283925,0.08203378703150067
E,65,30,Horizontal,0.82084,0.210959,-0.07994791666666667,0.11515299479166621,0.034233109415115766
E,65,35,Horizontal,0.83332,0.168767,-0.052517361111111154,0.05500699266975285,0.002420895907337413
