id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJ90NgeCkFdkgRrcERnqgTOZ8,Brooke,Restaurant,4.6,170.0,"{'latitude': 51.454039699999996, 'longitude': -0.1404743}","Newtons Restaurant, 33-35 Abbeville Rd, London",https://maps.google.com/?cid=11473223140630446509&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,https://brookeclapham.com/,OPERATIONAL,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJe3Va2EoEdkgRUbvmmsICN1o,Bistro Union,Bistro,4.3,359.0,"{'latitude': 51.454325999999995, 'longitude': -0.13974899999999998}","40 Abbeville Rd, London",https://maps.google.com/?cid=6500667621978323793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '90'}}",PRICE_LEVEL_MODERATE,https://bistrounion.co.uk/,OPERATIONAL,"['bistro', 'wine_bar', 'cocktail_bar', 'bar', 'british_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",bistro
ChIJXWauCIwFdkgR0oyhl-R7d7M,Osteria Toscana,Italian Restaurant,4.5,269.0,"{'latitude': 51.453972699999994, 'longitude': -0.1405695}","31 Abbeville Rd, London",https://maps.google.com/?cid=12931941076744375506&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,http://osteriatoscana.co.uk/,OPERATIONAL,"['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant
ChIJbcuN1koEdkgRfqE0R3FiLLc,PizzaExpress,Pizza Restaurant,4.5,449.0,"{'latitude': 51.454294, 'longitude': -0.1402061}","43 Abbeville Rd, London",https://maps.google.com/?cid=13199032846581539198&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://www.pizzaexpress.com/clapham-abbeville-road?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-781,OPERATIONAL,"['pizza_restaurant', 'italian_restaurant', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",pizza_restaurant
ChIJAQBN1koEdkgRGw_ixzGsr-I,Camile Clapham,Thai Restaurant,4.0,352.0,"{'latitude': 51.454391199999996, 'longitude': -0.1401346}","47 Abbeville Rd, London",https://maps.google.com/?cid=16334463703302934299&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.camile.co.uk/,OPERATIONAL,"['thai_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",thai_restaurant
ChIJY9IfdEsEdkgRxOto48I4BRw,Pizza Hut Clapham,Takeout Restaurant,4.1,369.0,"{'latitude': 51.4552, 'longitude': -0.1393}","75 Abbeville Rd, London",https://maps.google.com/?cid=2019082417635650500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://www.pizzahut.co.uk/,OPERATIONAL,"['pizza_delivery', 'fast_food_restaurant', 'pizza_restaurant', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway
ChIJo0YRgisFdkgRIL9Iyj6Zf5g,Fumi Express - Japanese and Korean,Takeout Restaurant,4.6,23.0,"{'latitude': 51.4552516, 'longitude': -0.13942069999999998}","95 Hambalt Rd, London",https://maps.google.com/?cid=10988670110768086816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.fumiexpress.co.uk/Menu,OPERATIONAL,"['japanese_restaurant', 'meal_takeaway', 'korean_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway
ChIJMUawbgAFdkgRU-z-PdGJ3II,MAAI By Nikita,British Restaurant,5.0,43.0,"{'latitude': 51.4540216, 'longitude': -0.1404851}","Newtons Restaurant, 33-35 Abbeville Rd, London",https://maps.google.com/?cid=9429563251588262995&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '70'}, 'endPrice': {'currencyCode': 'GBP', 'units': '80'}}",,https://restaurantmaai.com/,OPERATIONAL,"['fine_dining_restaurant', 'cocktail_bar', 'bar', 'british_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",british_restaurant
ChIJOZWIdJ0FdkgR6GarOzlo9CM,Flame and Crust (Pizza and Grill),Takeout Restaurant,,,"{'latitude': 51.4552516, 'longitude': -0.13942069999999998}","95 Hambalt Rd, London",https://maps.google.com/?cid=2590810280668391144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,OPERATIONAL,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway
