id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway
ChIJ-W3581EEdkgRj75fraxR-so,Clapham Manor Pizza,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",5.0,1.0,"{'latitude': 51.463400299999996, 'longitude': -0.1344501}","179 Clapham Manor St, London",,,https://maps.google.com/?cid=14626092541924064911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Pizza,Dine-In
ChIJ8bKMDxYFdkgR-cbluWZDN90,Soul Lounge,Restaurant,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.3,866.0,"{'latitude': 51.463628, 'longitude': -0.1334465}","76 Clapham High St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '40'}, 'endPrice': {'currencyCode': 'GBP', 'units': '50'}}",,https://maps.google.com/?cid=15940283514585728761&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.soulloungeldn.com/,OPERATIONAL,Restaurant,Dine-In
ChIJ_8jBIVIEdkgRVpCMg_y7ISI,Sorella,Italian Restaurant,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,694.0,"{'latitude': 51.4638061, 'longitude': -0.13506790000000002}","Anglo Spanish Nursery School Ltd, 148 Clapham Manor St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '80'}}",PRICE_LEVEL_EXPENSIVE,https://maps.google.com/?cid=2459453564734181462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.sorellarestaurant.co.uk/,OPERATIONAL,European,Dine-In
ChIJjdvld00EdkgRwpb9WDRfuTI,Carmen Tapas,Spanish Restaurant,spanish_restaurant,"['spanish_restaurant', 'european_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,614.0,"{'latitude': 51.461667, 'longitude': -0.137801}","underground : opposite Clapham Common station, 6 Clapham Common South Side, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '40'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3655057251023820482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.carmenbardetapas.com/,OPERATIONAL,European,Dine-In
ChIJFVuD3E0FdkgRXFFhjgLEDcg,Pret A Manger,Sandwich Shop,sandwich_shop,"['sandwich_shop', 'coffee_shop', 'salad_shop', 'pastry_shop', 'breakfast_restaurant', 'dessert_shop', 'cafe', 'bakery', 'confectionery', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3.4,168.0,"{'latitude': 51.462105199999996, 'longitude': -0.1382676}","1 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14415393497540546908&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.pret.co.uk/en-GB/shop-finder/l/london/1-the-pavement/10820,OPERATIONAL,Sandwich & Deli,Dine-In
ChIJ-eAvAU8EdkgR95hTlE28U8w,Knife,Steak House,steak_house,"['steak_house', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.7,722.0,"{'latitude': 51.459559999999996, 'longitude': -0.131556}","160 Clapham Park Rd, London",,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14723318648191293687&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://kniferestaurant.co.uk/,OPERATIONAL,Steakhouse & BBQ,Dine-In
ChIJ53uDd0wPdkgRWuSvUg6005k,En Root Clapham,Vegan Restaurant,vegan_restaurant,"['vegan_restaurant', 'vegetarian_restaurant', 'catering_service', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'supplier', 'service', 'food_store', 'food', 'store', 'establishment']",4.7,301.0,"{'latitude': 51.4598709, 'longitude': -0.1295988}","5, Ascot Parade, Clapham Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=11084401081498723418&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.enrootldn.co.uk/,OPERATIONAL,Vegetarian & Vegan,Dine-In
ChIJhaxqqE8EdkgRQFFvVlcZrck,Papa Johns Pizza,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'pizza_delivery', 'meal_delivery', 'food_delivery', 'restaurant', 'point_of_interest', 'service', 'food', 'establishment']",3.4,221.0,"{'latitude': 51.459854, 'longitude': -0.1303086}","207 Clapham Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14532299435497443648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.papajohns.co.uk/stores/clapham?utm_source=yext-google-my-business&utm_medium=organic&utm_campaign=local-listing,OPERATIONAL,Pizza,Dine-In
ChIJuxwIIOsFdkgRDvAwnl5e-g8,Shaggy's Caribbean Cuisine & Bakery,Restaurant,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",5.0,7.0,"{'latitude': 51.4598929, 'longitude': -0.12962569999999998}","7, Ascot Parade, Clapham Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=1151336415220527118&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Latin American,Dine-In
ChIJaSqVVPcFdkgRCXBE5f7ihj8,Lina Stores Clapham - Italian Restaurant,Italian Restaurant,italian_restaurant,"['italian_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.6,492.0,"{'latitude': 51.4621831, 'longitude': -0.1399016}","22 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4577595655664726025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.linastores.co.uk/,OPERATIONAL,European,Dine-In
ChIJxcdQV00EdkgRKQX2UVNnheE,Minnow,Restaurant,restaurant,"['cafe', 'breakfast_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.3,1122.0,"{'latitude': 51.462124499999994, 'longitude': -0.13988599999999998}","The Pavement Cafe, 21 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=16250508437991327017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://minnowclapham.co.uk/,OPERATIONAL,Cafe & Coffee,Dine-In
ChIJjQyBfWUFdkgRfUMZPUsg2jY,Rudy's Pizza Napoletana - Clapham Common,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.8,344.0,"{'latitude': 51.4618724, 'longitude': -0.1395915}","15 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,https://maps.google.com/?cid=3952507130490733437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.rudyspizza.co.uk/location/clapham-common/,OPERATIONAL,Pizza,Dine-In
ChIJdz4QVdIFdkgRuiPdtDyJ8oU,Chango Empanadas Clapham Common,Argentinian Restaurant,argentinian_restaurant,"['argentinian_restaurant', 'south_american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,50.0,"{'latitude': 51.4617752, 'longitude': -0.13927979999999998}","16 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=9651927845233828794&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.chango.co.uk/,OPERATIONAL,Latin American,Dine-In
