id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway,wilson_score,wilson_quantile
ChIJuWN48KoFdkgR7nQ3EpYND7g,Big Taste Battersea,Restaurant,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.8,20.0,"{'latitude': 51.4765504, 'longitude': -0.14735869999999998}","V2, Railway Arches, Arch, Patcham Terrace, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=13262834365831279854&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Restaurant,Dine-In,0.7638641064874331,0.48
ChIJWz0rSO4DdkgRNzZzd7fNg1g,Panza Mia,Fast Food Restaurant,fast_food_restaurant,"['fast_food_restaurant', 'pizza_delivery', 'meal_delivery', 'dessert_shop', 'confectionery', 'food_delivery', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",4.4,91.0,"{'latitude': 51.4748321, 'longitude': -0.14040909999999998}","Lindford Street Business Estate, 76 Stewart's Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=6378167685153502775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.veatsio.com/,OPERATIONAL,Fast Food,Dine-In,0.7625740227083525,0.4742857142857143
ChIJAep23wQFdkgRgzleMAR9UGo,Lusitania,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'mediterranean_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,465.0,"{'latitude': 51.475081499999995, 'longitude': -0.1314164}","353 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=7660760423102036355&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.restaurantelusitania.co.uk/,OPERATIONAL,European,Dine-In,0.7612506395833952,0.4685714285714286
ChIJIX1Dl_gEdkgRnbxNdBlO3_4,Aquarium Snack Bar,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'cafe', 'breakfast_restaurant', 'night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,52.0,"{'latitude': 51.473599799999995, 'longitude': -0.1331191}","415 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=18365483676672572573&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.facebook.com/aquariumclubldn/,OPERATIONAL,European,Dine-In,0.7587037211247338,0.46285714285714286
ChIJgwv8Xz0FdkgROlvs90-syok,Panzer8,Takeout Restaurant,meal_takeaway,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.8,19.0,"{'latitude': 51.474875499999996, 'longitude': -0.1403854}","Lindford Street Business Estate, 76 Stewart's Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=9928937787953535802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.panzer8.co.uk/,OPERATIONAL,Takeout,Takeaway Only,0.7571988539992485,0.45714285714285713
ChIJdz4QVdIFdkgRuiPdtDyJ8oU,Chango Empanadas Clapham Common,Argentinian Restaurant,argentinian_restaurant,"['argentinian_restaurant', 'south_american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,50.0,"{'latitude': 51.4617752, 'longitude': -0.13927979999999998}","16 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=9651927845233828794&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.chango.co.uk/,OPERATIONAL,Latin American,Dine-In,0.7559409333937313,0.4514285714285714
ChIJyZ2EBVUEdkgRX90PaYXNszA,Orit Ethiopian Restaurant and Bar,Ethiopian Restaurant,ethiopian_restaurant,"['ethiopian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.3,147.0,"{'latitude': 51.470850399999996, 'longitude': -0.1382831}","388 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=3509374507528740191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,African,Dine-In,0.755523142421196,0.44571428571428573
ChIJ--jShlIEdkgR0A_9FSWHgIE,Barsito,Tapas Restaurant,tapas_restaurant,"['tapas_restaurant', 'spanish_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,297.0,"{'latitude': 51.462794699999996, 'longitude': -0.1380111}","57 Venn St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=9331607021264113616&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.barsito57.com/,OPERATIONAL,European,Dine-In,0.7508061979298483,0.44
ChIJB_RZrgwFdkgR4iYE91XptB4,Noura Lebanese Takeaway Battersea,Restaurant,restaurant,"['restaurant', 'halal_restaurant', 'vegan_restaurant', 'vegetarian_restaurant', 'sandwich_shop', 'lebanese_restaurant', 'point_of_interest', 'food', 'establishment']",4.7,22.0,"{'latitude': 51.4745685, 'longitude': -0.1530059}","279 Battersea Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",,https://maps.google.com/?cid=2212649872371492578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.nourakingston.com/?utm_source=GBP.website&utm_medium=GBP&utm_campaign=br17160-website,OPERATIONAL,Halal,Dine-In,0.7422161702331949,0.4342857142857143
ChIJS4t9A1UEdkgRt_jR1n5jq38,Lebanese Grill II,Kebab Shop,kebab_shop,"['kebab_shop', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,193.0,"{'latitude': 51.470586, 'longitude': -0.1383739}","523 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=9199556060255484087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Middle Eastern,Dine-In,0.7379590976795659,0.42857142857142855
