tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current,result_count
8a194ad30437fff,0,0-0-6,10,2,51.5158912201963,-0.0906862610965026,75.864,"POLYGON ((-0.0905110144038384 51.516530228430085, -0.0914692791139527 51.51636006302248, -0.0916445160076144 51.51572104963268, -0.0908615041319908 51.51525220710747, -0.0899032612070979 51.51542237336038, -0.0897280083729241 51.51606138129312, -0.0905110144038384 51.516530228430085))",0,True,True,,9.0
8b194ad304d2fff,0,0-3-2-2,11,3,51.512325415332654,-0.0941382608206135,28.827,"POLYGON ((-0.0942000626268025 51.51257497626854, -0.0944988671380164 51.512435050148845, -0.0944370640189805 51.51218548877608, -0.0940764595873288 51.51207585394333, -0.0937776570057775 51.51221577964408, -0.0938394569262186 51.512465340596556, -0.0942000626268025 51.51257497626854))",0,True,True,,1.0
8a194ad3052ffff,0,0-4-5,10,2,51.51721079539316,-0.0866779774453183,75.864,"POLYGON ((-0.0865026878999644 51.517849778146896, -0.0874609536548777 51.517679655762365, -0.0876362334015842 51.517040667852264, -0.0868532633326077 51.51657180778414, -0.0858950193644176 51.51674193101502, -0.0857197236788079 51.517380913467626, -0.0865026878999644 51.517849778146896))",0,True,True,,6.0
8a194ad3045ffff,0,0-1-3,10,2,51.51145973213691,-0.0882554187557488,75.864,"POLYGON ((-0.0880801621285849 51.5120987585837, -0.0890383397023969 51.51192858979331, -0.0892135865325642 51.51128955819048, -0.0884306717258781 51.510820700835914, -0.0874725159341946 51.51099087047275, -0.0872972531674058 51.51162989661767, -0.0880801621285849 51.5120987585837))",0,True,True,,5.0
8a194ad30487fff,0,0-2-0,10,2,51.5145714474281,-0.094694497700103,75.864,"POLYGON ((-0.094519293860823 51.51521048114027, -0.0954775575167517 51.51504027270856, -0.095652751556644 51.514401233840765, -0.09486969788306 51.51393240886122, -0.0939114560108756 51.51410261813712, -0.0937362460288632 51.51474165154834, -0.094519293860823 51.51521048114027))",0,True,True,,3.0
8a194ad3042ffff,0,0-0-5,10,2,51.51448466766077,-0.0883373158111332,75.864,"POLYGON ((-0.0881620506951219 51.515123674991074, -0.0891202794454348 51.51495352251508, -0.0892955347633994 51.51431451002865, -0.0885125772697427 51.51384565547573, -0.0875543703038792 51.51401580879784, -0.0873790990475348 51.51465481582674, -0.0881620506951219 51.515123674991074))",0,True,True,,1.0
89194ad3043ffff,0,0-0,9,1,51.51478336057267,-0.0900785103840049,200.821,"POLYGON ((-0.0905110144038384 51.516530228430085, -0.0926027731057166 51.51555086960223, -0.0921702047470167 51.51380398033399, -0.0896460344278425 51.513036470491755, -0.0875543703038792 51.51401580879784, -0.0879867819215945 51.515762677466505, -0.0905110144038384 51.516530228430085))",7,True,True,,33.0
89194ad304fffff,0,0-3,9,1,51.512057068842665,-0.0917376644556636,200.821,"POLYGON ((-0.0921702047470167 51.51380398033399, -0.0942618650058352 51.512824536750884, -0.0938292603825897 51.511077603851014, -0.0913051522289112 51.51031013513138, -0.0892135865325642 51.51128955819048, -0.0896460344278425 51.513036470491755, -0.0921702047470167 51.51380398033399))",7,True,True,,55.0
8a194ad304c7fff,0,0-3-0,10,2,51.512057068842665,-0.0917376644556432,75.864,"POLYGON ((-0.0915624397044004 51.51269610620464, -0.092520645623136 51.51252590986163, -0.092695860576484 51.51188686734384, -0.0919128855504018 51.51141802662638, -0.0909547014138584 51.51158822381473, -0.0907794705214809 51.51222726087519, -0.0915624397044004 51.51269610620464))",0,True,True,,11.0
8a194ad304affff,0,0-2-5,10,2,51.51427281794613,-0.0929532163243725,75.864,"POLYGON ((-0.0927779965433958 51.51491184620157, -0.0937362460288632 51.51474165154834, -0.0939114560108756 51.51410261813712, -0.093128432448761 51.51363378483599, -0.0921702047470167 51.51380398033399, -0.0919949788240269 51.51444300828831, -0.0927779965433958 51.51491184620157))",0,True,True,,5.0
