local_tile,local_tiles,density,local_density
89194ad00cbffff,"{'89194ad00c7ffff', '89194ad0627ffff', '89194ad06afffff', '89194ad062fffff', '89194ad00d3ffff', '89194ad00dbffff', '89194ad0637ffff', '89194ad00d7ffff', '89194ad0043ffff', '89194ad06a7ffff', '89194ad005bffff', '89194ad0623ffff', '89194ad001bffff', '89194ad00c3ffff', '89194ad0633ffff', '89194ad00cfffff', '89194ad0057ffff', '89194ad00cbffff', '89194ad0053ffff'}",7.0,43.0
89194ad00d3ffff,"{'89194ad00c7ffff', '89194ad0463ffff', '89194ad06afffff', '89194ad06a3ffff', '89194ad0467ffff', '89194ad00d3ffff', '89194ad00dbffff', '89194ad046bffff', '89194ad0637ffff', '89194ad00d7ffff', '89194ad046fffff', '89194ad047bffff', '89194ad06a7ffff', '89194ad06b7ffff', '89194ad008bffff', '89194ad009bffff', '89194ad00c3ffff', '89194ad00cfffff', '89194ad00cbffff'}",2.0,31.0
89194ad00d7ffff,"{'89194ad00c7ffff', '89194ad0463ffff', '89194ad0467ffff', '89194ad00d3ffff', '89194ad00dbffff', '89194ad046bffff', '89194ad008fffff', '89194ad00d7ffff', '89194ad046fffff', '89194ad0013ffff', '89194ad06a7ffff', '89194ad0093ffff', '89194ad001bffff', '89194ad008bffff', '89194ad0083ffff', '89194ad009bffff', '89194ad00c3ffff', '89194ad00cfffff', '89194ad00cbffff'}",2.0,18.0
89194ad010bffff,"{'89194ad0143ffff', '89194ad01c7ffff', '89194ad013bffff', '89194ad010fffff', '89194ad0157ffff', '89194ad0163ffff', '89194ad0113ffff', '89194ad0153ffff', '89194ad0177ffff', '89194ad017bffff', '89194ad0173ffff', '89194ad014fffff', '89194ad01cfffff', '89194ad0117ffff', '89194ad0103ffff', '89194ad010bffff', '89194ad011bffff', '89194ad0147ffff', '89194ad0107ffff'}",1.0,15.0
89194ad0113ffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad01c7ffff', '89194ad01abffff', '89194ad0183ffff', '89194ad010fffff', '89194ad0157ffff', '89194ad0113ffff', '89194ad01c3ffff', '89194ad01cfffff', '89194ad01d7ffff', '89194ad0117ffff', '89194ad0103ffff', '89194ad019bffff', '89194ad010bffff', '89194ad011bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad0107ffff'}",7.0,45.0
89194ad0123ffff,"{'89194ad0137ffff', '89194ad0167ffff', '89194ad01abffff', '89194ad0127ffff', '89194ad012bffff', '89194ad013bffff', '89194ad0133ffff', '89194ad010fffff', '89194ad01afffff', '89194ad0e93ffff', '89194ad0cdbffff', '89194ad0177ffff', '89194ad012fffff', '89194ad0ccbffff', '89194ad0e97ffff', '89194ad0123ffff', '89194ad0c5bffff', '89194ad0107ffff', '89194ad0c53ffff'}",1.0,16.0
89194ad0137ffff,"{'89194ad0137ffff', '89194ad0cd3ffff', '89194ad0127ffff', '89194ad01abffff', '89194ad012bffff', '89194ad013bffff', '89194ad0133ffff', '89194ad0cc3ffff', '89194ad01afffff', '89194ad0cdbffff', '89194ad012fffff', '89194ad01a3ffff', '89194ad0ccfffff', '89194ad0ccbffff', '89194ad0123ffff', '89194ad0c5bffff', '89194ad01a7ffff', '89194ad0107ffff', '89194ad0c53ffff'}",12.0,18.0
89194ad014bffff,"{'89194ad0143ffff', '89194ad015bffff', '89194ad0393ffff', '89194ad014bffff', '89194ad0027ffff', '89194ad0157ffff', '89194ad03b3ffff', '89194ad0153ffff', '89194ad038fffff', '89194ad017bffff', '89194ad014fffff', '89194ad03a3ffff', '89194ad0397ffff', '89194ad002fffff', '89194ad03bbffff', '89194ad03b7ffff', '89194ad0387ffff', '89194ad0383ffff', '89194ad0147ffff'}",7.0,32.0
89194ad0157ffff,"{'89194ad0143ffff', '89194ad015bffff', '89194ad01cbffff', '89194ad01c7ffff', '89194ad014bffff', '89194ad0027ffff', '89194ad010fffff', '89194ad0157ffff', '89194ad0113ffff', '89194ad0153ffff', '89194ad0173ffff', '89194ad017bffff', '89194ad014fffff', '89194ad01c3ffff', '89194ad01cfffff', '89194ad0103ffff', '89194ad010bffff', '89194ad011bffff', '89194ad0147ffff'}",3.0,33.0
89194ad015bffff,"{'89194ad0143ffff', '89194ad015bffff', '89194ad0037ffff', '89194ad0023ffff', '89194ad0393ffff', '89194ad01cbffff', '89194ad014bffff', '89194ad0027ffff', '89194ad0157ffff', '89194ad03b3ffff', '89194ad0153ffff', '89194ad002bffff', '89194ad014fffff', '89194ad0397ffff', '89194ad002fffff', '89194ad01cfffff', '89194ad0383ffff', '89194ad0387ffff', '89194ad0147ffff'}",4.0,31.0
