id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJKTPAHKEFdkgRMsx9diRjTOs,No3 at Nightingale Place,Restaurant,4.0,62,"{'latitude': 51.4528756, 'longitude': -0.14875449999999998}","Oliver House Preparatory Schoo, Nightingale Ln, Nightingale Place, London",https://maps.google.com/?cid=16955035705401003058&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '50'}}",,https://www.audleyrestaurants.co.uk/no3-clapham?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness-nig-restaurant&utm_content=nig-restaurant,OPERATIONAL,"['restaurant', 'bar', 'bistro', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJObH3H7YFdkgR2vXJYVGP-Xk,Moxies Fish Bar,Takeout Restaurant,4.3,227,"{'latitude': 51.452286799999996, 'longitude': -0.14796090000000003}","Gateway House, 7 Westbury Parade, London",https://maps.google.com/?cid=8789213727485982170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,http://www.moxiesfishbar.co.uk/,OPERATIONAL,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway
ChIJox9BGLYFdkgRLdFzhP2R0Cw,King Rooster,Restaurant,3.7,96,"{'latitude': 51.452680199999996, 'longitude': -0.1477411}","2A Westbury Parade, Balham Hill, London",https://maps.google.com/?cid=3229241450859581741&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,,OPERATIONAL,"['fast_food_restaurant', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJ0Qp_GLYFdkgRzdK-lQofCug,Doner Inn,Fast Food Restaurant,3.3,116,"{'latitude': 51.45244290000001, 'longitude': -0.1478707}","Gateway House, 2 Westbury Parade, London",https://maps.google.com/?cid=16720210696888832717&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,,OPERATIONAL,"['fast_food_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",fast_food_restaurant
