id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJPf-zRgEFdkgRjN05hcwo1ws,Pho Ta Battersea,Takeout Restaurant,4.6,454,"{'latitude': 51.477267, 'longitude': -0.1460226}","151 Battersea Park Rd, London",https://maps.google.com/?cid=853195513283599756&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_INEXPENSIVE,https://www.ubereats.com/gb/store/pho-ta/Kqu00B2PRauNNnruSPdSXw?srsltid=AfmBOoq_Eeod8Kp3HjVIh8K5ayHE-rVqMr1bC_H4f3PwbHoiFAQvF7i7,OPERATIONAL,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway
ChIJmxJQmf0EdkgRJCFCY_eUUjI,Avli of Battersea,Greek Restaurant,4.7,448,"{'latitude': 51.4770244, 'longitude': -0.14649879999999998}","161 Battersea Park Rd, London",https://maps.google.com/?cid=3626124440229781796&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,,OPERATIONAL,"['greek_restaurant', 'mediterranean_restaurant', 'wine_bar', 'breakfast_restaurant', 'brunch_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",greek_restaurant
ChIJ_64DCgAFdkgR_fETfzSvC-s,Duck & Rice,Chinese Restaurant,4.1,21,"{'latitude': 51.479169999999996, 'longitude': -0.1436374}","Electric Boulevard, 44 Electric Blvd, London",https://maps.google.com/?cid=16936823463662055933&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,https://theduckandrice.com/,OPERATIONAL,"['chinese_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",chinese_restaurant
ChIJyQ7AUNAFdkgRV7ttMvno53M,The Greek Spot,Greek Restaurant,4.3,6,"{'latitude': 51.477004199999996, 'longitude': -0.1464868}","161 Battersea Park Rd, London",https://maps.google.com/?cid=8351900190972427095&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,OPERATIONAL,"['greek_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",greek_restaurant
ChIJuROZxXgFdkgRWxD-_bpxi5k,Brekkie Cafe & Restaurant,Restaurant,4.9,207,"{'latitude': 51.477167699999995, 'longitude': -0.1460309}","153 Battersea Park Rd, London",https://maps.google.com/?cid=11064061957504897115&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant
