id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJgeDXLGAFdkgRefjTt6Jjemw,Common Pizza,Pizza Restaurant,4.7,512.0,"{'latitude': 51.460784499999995, 'longitude': -0.1432803}","10 Rookery Rd, London",https://maps.google.com/?cid=7816669653774891129&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://commonpizza.co.uk/,OPERATIONAL,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",pizza_restaurant
ChIJSQ6TFGQFdkgRkSA7jXxkoV4,Sweetsmile bakery and patisserie,Brunch Restaurant,4.7,310.0,"{'latitude': 51.4660462, 'longitude': -0.15213649999999998}","31 Lavender Hill, London",https://maps.google.com/?cid=6818841796923826321&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.ssmile.co.uk/about,OPERATIONAL,"['brunch_restaurant', 'cake_shop', 'cocktail_bar', 'coffee_shop', 'pastry_shop', 'cafe', 'breakfast_restaurant', 'bakery', 'dessert_shop', 'confectionery', 'wholesaler', 'bar', 'food_store', 'restaurant', 'food', 'point_of_interest', 'manufacturer', 'store', 'establishment']",brunch_restaurant
ChIJl4WCBhgFdkgRas8rMj23rbI,Bui Vien Restaurant,Vietnamese Restaurant,4.6,442.0,"{'latitude': 51.4660812, 'longitude': -0.1522077}","33 Lavender Hill, London",https://maps.google.com/?cid=12875148383184736106&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://buivienlondon.co.uk/,OPERATIONAL,"['vietnamese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",vietnamese_restaurant
ChIJteAyYakFdkgRdIe1hOY_TDs,Lavender Hill Fish & Chips,Fish & Chips Restaurant,4.1,309.0,"{'latitude': 51.466102299999996, 'longitude': -0.1518574}","fish and chips, 23 Lavender Hill, London",https://maps.google.com/?cid=4272860405769275252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,,OPERATIONAL,"['fish_and_chips_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fish_and_chips_restaurant
ChIJUWCMxwoFdkgRnxmlkrlodFQ,Omnibus Cafe,Brunch Restaurant,4.6,9.0,"{'latitude': 51.463649999999994, 'longitude': -0.142405}","1 Clapham Common North Side, London",https://maps.google.com/?cid=6085604142722914719&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://www.brewandbarrelsw4.com/,OPERATIONAL,"['brunch_restaurant', 'coffee_shop', 'cafe', 'pub', 'bar', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",brunch_restaurant
ChIJaTa0CJUFdkgRfgG4e8BH728,"Chicken world , Lavender Hill",Restaurant,4.5,37.0,"{'latitude': 51.4661019, 'longitude': -0.151782}","21 Lavender Hill, London",https://maps.google.com/?cid=8065744349678797182&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
ChIJzQFFHNMFdkgRrtHdkksYQeE,burgerladzldn,Fast Food Restaurant,,,"{'latitude': 51.4577982, 'longitude': -0.1486622}","Clapham Common North Side, London",https://maps.google.com/?cid=16231281244885602734&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,CLOSED_TEMPORARILY,"['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fast_food_restaurant
