tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
881946cb61fffff,556,556,8,0,54.93538917347116,-1.3809730472578396,531.415,"POLYGON ((-1.3797612718768013 54.939729103468245, -1.3869499555106721 54.93859350612811, -1.388161172298714 54.93425332402804, -1.3821846319996687 54.93104897750165, -1.3749971477597698 54.93218457787824, -1.3737850045563231 54.936524521724266, -1.3797612718768013 54.939729103468245))",0,True,True,False
881946cb69fffff,557,557,8,0,54.94086419958973,-1.372572670633304,531.415,"POLYGON ((-1.371360145946814 54.9452036114434, -1.3785493058126357 54.94406876746176, -1.3797612718768013 54.939729103468245, -1.3737850045563231 54.936524521724266, -1.3665970444190287 54.937659368827156, -1.365384152005114 54.941998794532324, -1.371360145946814 54.9452036114434))",0,True,True,False
8819733693fffff,558,558,8,0,54.94633795421746,-1.3641710687473871,531.415,"POLYGON ((-1.362957794601886 54.95067684785143, -1.3701474304528933 54.94954275725404, -1.371360145946814 54.9452036114434, -1.365384152005114 54.941998794532324, -1.3581957162171148 54.943132888335825, -1.3569820744393075 54.947471795823795, -1.362957794601886 54.95067684785143))",0,True,True,False
881973369bfffff,559,559,8,0,54.951810437252455,-1.3557682416933965,531.415,"POLYGON ((-1.3545542179353665 54.956148812590556, -1.361744329524616 54.95501547540305, -1.362957794601886 54.95067684785143, -1.3569820744393075 54.947471795823795, -1.3497931632474733 54.948605136302305, -1.3485787719523583 54.95294352549698, -1.3545542179353665 54.956148812590556))",0,True,True,False
8819733691fffff,560,560,8,0,54.95388163699052,-1.3689345241075823,531.415,"POLYGON ((-1.3677214268669111 54.95822025062163, -1.3749122630820445 54.95708616310852, -1.3761248014591956 54.95274729731308, -1.3701474304528933 54.94954275725404, -1.362957794601886 54.95067684785143, -1.361744329524616 54.95501547540305, -1.3677214268669111 54.95822025062163))",0,True,True,False
881946d9a5fffff,561,561,8,0,54.95728164859296,-1.3473641895648,531.415,"POLYGON ((-1.3461494160408047 54.96161950555913, -1.3533400031212222 54.96048692180702, -1.3545542179353665 54.956148812590556, -1.3485787719523583 54.95294352549698, -1.341389385603744 54.954076112624946, -1.3401742446379628 54.95841398345018, -1.3461494160408047 54.96161950555913))",0,True,True,False
8819733699fffff,562,562,8,0,54.95935383684115,-1.360530673471615,531.415,"POLYGON ((-1.3593168263988717 54.96369193213458, -1.3665081386869014 54.96255859811623, -1.3677214268669111 54.95822025062163, -1.361744329524616 54.95501547540305, -1.3545542179353665 54.956148812590556, -1.3533400031212222 54.96048692180702, -1.3593168263988717 54.96369193213458))",0,True,True,False
881973369dfffff,563,563,8,0,54.96142476277564,-1.3736995338459526,531.415,"POLYGON ((-1.372486613706988 54.96576309628323, -1.3796786505873955 54.964629011732505, -1.3808910116508522 54.96029042607293, -1.3749122630820445 54.95708616310852, -1.3677214268669111 54.95822025062163, -1.3665081386869014 54.96255859811623, -1.372486613706988 54.96576309628323))",0,True,True,False
88197336d3fffff,564,564,8,0,54.96482476487065,-1.3521255972069646,531.415,"POLYGON ((-1.3509110001485636 54.969162341750334, -1.3581027882623793 54.96802976125222, -1.3593168263988717 54.96369193213458, -1.3533400031212222 54.96048692180702, -1.3461494160408047 54.96161950555913, -1.344934451336323 54.96595709636433, -1.3509110001485636 54.969162341750334))",0,True,True,False
88197336d7fffff,565,565,8,0,54.96689667944317,-1.3652946595235775,531.415,"POLYGON ((-1.364080989332912 54.97123449457133, -1.3712735026211214 54.9701011636002, -1.372486613706988 54.96576309628323, -1.3665081386869014 54.96255859811623, -1.3593168263988717 54.96369193213458, -1.3581027882623793 54.96802976125222, -1.364080989332912 54.97123449457133))",0,True,True,False
