tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success
88194ad101fffff,137,137,8,0,51.473019166143864,-0.13340688846596996,531.415,"POLYGON ((-0.1321838988150199 51.477495318011115, -0.1388887487105007 51.476299832374764, -0.1401112584423824 51.47182342811114, -0.1346296995344931 51.46854277678993, -0.1279259152688419 51.46973830341643, -0.126702624392607 51.474214440358836, -0.1321838988150199 51.477495318011115))",0,False,
88194ad105fffff,157,157,8,0,51.475103882856295,-0.14559370437673855,531.415,"POLYGON ((-0.1443714961174301 51.479580301985344, -0.1510770374524541 51.47838414090162, -0.1522987656325332 51.47390746941933, -0.1468157341407519 51.470627226224245, -0.1401112584423824 51.47182342811114, -0.1388887487105007 51.476299832374764, -0.1443714961174301 51.479580301985344))",0,False,
88194ad107fffff,183,183,8,0,51.467346786373625,-0.14133358965438608,531.415,"POLYGON ((-0.1401112584423824 51.47182342811114, -0.1468157341407519 51.470627226224245, -0.1480375854474834 51.466150332131114, -0.1425557423844994 51.46286990720415, -0.135852332058555 51.46406614999123, -0.1346296995344931 51.46854277678993, -0.1401112584423824 51.47182342811114))",0,False,
