tile_id,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,result_count
89194ad1623ffff,132-0,9,1,51.48286057485178,-0.14985513080168758,200.821,"POLYGON ((-0.1502894429654578 51.484608107290825, -0.1523800821448371 51.48362686889707, -0.1519457057456597 51.481879315101736, -0.1494208468034903 51.48111302020807, -0.1473303018644311 51.48209423798823, -0.1477645216276106 51.48384177127421, -0.1502894429654578 51.484608107290825))",0,True,True,2
89194ad1627ffff,132-1,9,1,51.480346682500326,-0.14689611026044455,200.821,"POLYGON ((-0.1473303018644311 51.48209423798823, -0.1494208468034903 51.48111302020807, -0.1489865909681797 51.4793654433629, -0.1464619468129598 51.47859910481359, -0.1443714961174353 51.479580301985344, -0.144805595333971 51.481327858313385, -0.1473303018644311 51.48209423798823))",0,True,True,11
89194ad162bffff,132-2,9,1,51.48264556717438,-0.15447068708604833,200.821,"POLYGON ((-0.1549051558929499 51.4843931201173, -0.1569957908237507 51.48341177641913, -0.1565612577844102 51.481664202123234, -0.1540362464548146 51.48089799202461, -0.1519457057456597 51.481879315101736, -0.1523800821448371 51.48362686889707, -0.1549051558929499 51.4843931201173))",0,True,True,0
89194ad162fffff,132-3,9,1,51.4801317391022,-0.15151135751576422,200.821,"POLYGON ((-0.1519457057456597 51.481879315101736, -0.1540362464548146 51.48089799202461, -0.1536018339965258 51.47915039467107, -0.1510770374524541 51.47838414090162, -0.1489865909681797 51.4793654433629, -0.1494208468034903 51.48111302020807, -0.1519457057456597 51.481879315101736))",0,True,True,0
89194ad1633ffff,132-4,9,1,51.48558928235516,-0.14819876955266395,200.821,"POLYGON ((-0.1486330456422724 51.48733677122789, -0.1507237832974825 51.48635561752214, -0.1502894429654578 51.484608107290825, -0.1477645216276106 51.48384177127421, -0.1456738782281422 51.484822904368635, -0.1461080619111646 51.48657039408957, -0.1486330456422724 51.48733677122789))",0,True,True,0
89194ad163bffff,132-6,9,1,51.485374400485114,-0.152814486715953,200.821,"POLYGON ((-0.1532489194617352 51.487121909862715, -0.1553396528781964 51.486140650850174, -0.1549051558929499 51.4843931201173, -0.1523800821448371 51.48362686889707, -0.1502894429654578 51.484608107290825, -0.1507237832974825 51.48635561752214, -0.1532489194617352 51.487121909862715))",0,True,True,0
8a194ad16347fff,132-5-0,10,2,51.48307539244218,-0.1452397227033199,75.864,"POLYGON ((-0.1450651046846181 51.48371484271033, -0.1460231055985007 51.4835440080772, -0.1461977138179798 51.48290455265854, -0.145414337078165 51.482435937325505, -0.1444563579180844 51.48260677279074, -0.1442817337443224 51.483246222756854, -0.1450651046846181 51.48371484271033))",0,True,True,3
8a194ad1634ffff,132-5-1,10,2,51.48196731797621,-0.1446309784479189,75.864,"POLYGON ((-0.1444563579180844 51.48260677279074, -0.145414337078165 51.482435937325505, -0.1455889478092986 51.48179647736047, -0.144805595333971 51.481327858313385, -0.1438476379269138 51.481498694610984, -0.1436730112424766 51.48213814912324, -0.1444563579180844 51.48260677279074))",0,True,True,9
8a194ad16357fff,132-5-2,10,2,51.48337316397489,-0.1469811086676705,75.864,"POLYGON ((-0.1468065066039799 51.48401261969543, -0.1477645216276106 51.48384177127421, -0.1479391138916218 51.48320231040327, -0.1471557070878065 51.48273370340576, -0.1461977138179798 51.48290455265854, -0.1460231055985007 51.4835440080772, -0.1468065066039799 51.48401261969543))",0,True,True,7
8a194ad1635ffff,132-5-3,10,2,51.482265092391394,-0.14637231839379786,75.864,"POLYGON ((-0.1461977138179798 51.48290455265854, -0.1471557070878065 51.48273370340576, -0.1473303018644311 51.48209423798823, -0.1465469193260845 51.481625627275896, -0.1455889478092986 51.48179647736047, -0.145414337078165 51.482435937325505, -0.1461977138179798 51.48290455265854))",0,True,True,2
8a194ad16367fff,132-5-4,10,2,51.483885667874375,-0.1441071059265593,75.864,"POLYGON ((-0.1439324744646603 51.48452510814326, -0.1448904830219862 51.484354288129836, -0.1450651046846181 51.48371484271033, -0.1442817337443224 51.483246222756854, -0.1433237469415696 51.48341704360261, -0.1431491093248555 51.484056483569475, -0.1439324744646603 51.48452510814326))",0,True,True,1
8a194ad1636ffff,132-5-5,10,2,51.48277759878715,-0.14349838091404632,75.864,"POLYGON ((-0.1433237469415696 51.48341704360261, -0.1442817337443224 51.483246222756854, -0.1444563579180844 51.48260677279074, -0.1436730112424766 51.48213814912324, -0.1427150461934623 51.48230897080163, -0.1425404060666332 51.48294841531487, -0.1433237469415696 51.48341704360261))",0,True,True,1
8a194ad16377fff,132-5-6,10,2,51.48418345864727,-0.1458484937352562,75.864,"POLYGON ((-0.1456738782281422 51.484822904368635, -0.1466319008965897 51.484652070567286, -0.1468065066039799 51.48401261969543, -0.1460231055985007 51.4835440080772, -0.1450651046846181 51.48371484271033, -0.1448904830219862 51.484354288129836, -0.1456738782281422 51.484822904368635))",0,True,True,0
