local_tile,local_tiles,density,local_density
89197322987ffff,"{'89197322987ffff', '891973229b7ffff', '8919732299bffff', '8919732298bffff', '891973229abffff', '89197322997ffff', '8919732298fffff', '89197335a5bffff', '891973229a3ffff', '89197322917ffff', '89197322d2fffff', '89197322983ffff', '89197322913ffff', '89197322993ffff', '89197335a4bffff', '89197335a43ffff', '891973229bbffff', '891973229b3ffff', '89197335a4fffff'}",2.0,18.0
89197322993ffff,"{'89197322987ffff', '8919732299bffff', '8919732298bffff', '89197322d77ffff', '89197322d63ffff', '89197322997ffff', '8919732298fffff', '89197335a5bffff', '89197322d27ffff', '89197322d23ffff', '89197322d6fffff', '89197322d2fffff', '89197322983ffff', '89197322d2bffff', '89197322993ffff', '89197322d67ffff', '89197335a4bffff', '891973229d7ffff', '89197322d3bffff'}",1.0,30.0
89197322997ffff,"{'89197322987ffff', '8919732299bffff', '8919732298bffff', '89197322997ffff', '8919732298fffff', '89197335a5bffff', '89197322d27ffff', '89197335a53ffff', '89197322d23ffff', '89197322d2fffff', '89197322983ffff', '89197322d2bffff', '89197322993ffff', '89197322d67ffff', '89197335a4bffff', '89197335a43ffff', '891973229bbffff', '891973229b3ffff', '89197335a4fffff'}",4.0,26.0
8919732299bffff,"{'89197322987ffff', '8919732298bffff', '8919732299bffff', '89197322d63ffff', '891973229c7ffff', '89197322d77ffff', '891973229d3ffff', '89197322997ffff', '8919732298fffff', '89197322d6fffff', '89197322d2fffff', '89197322983ffff', '89197322913ffff', '89197322d2bffff', '89197322993ffff', '89197322d67ffff', '89197322d6bffff', '891973229c3ffff', '891973229d7ffff'}",5.0,36.0
891973229c3ffff,"{'89197322837ffff', '8919732298bffff', '8919732299bffff', '891973229c7ffff', '891973229d3ffff', '891973229cfffff', '89197322957ffff', '891973228a7ffff', '891973228afffff', '89197322953ffff', '891973229cbffff', '89197322d6fffff', '89197322827ffff', '8919732291bffff', '89197322913ffff', '891973229c3ffff', '89197322d6bffff', '891973229d7ffff', '891973229dbffff'}",1.0,19.0
891973229c7ffff,"{'891973229d7ffff', '8919732298bffff', '8919732299bffff', '8919732290bffff', '891973229c7ffff', '891973229d3ffff', '891973229cfffff', '89197322957ffff', '8919732298fffff', '89197322953ffff', '891973229cbffff', '89197322d6fffff', '89197322917ffff', '89197322983ffff', '89197322913ffff', '891973229c3ffff', '89197322903ffff', '8919732291bffff', '891973229dbffff'}",5.0,21.0
891973229d3ffff,"{'89197322837ffff', '89197322d7bffff', '8919732298bffff', '8919732299bffff', '891973229c7ffff', '89197322d63ffff', '891973229d3ffff', '891973229cfffff', '891973228a3ffff', '891973228a7ffff', '891973228afffff', '89197322d6fffff', '891973229cbffff', '891973228b7ffff', '891973229c3ffff', '89197322d67ffff', '89197322d6bffff', '891973229d7ffff', '891973229dbffff'}",2.0,24.0
89197322a03ffff,"{'89197322a0bffff', '89197322ac7ffff', '89197322a73ffff', '89197322a33ffff', '89197322a8fffff', '89197322a0fffff', '89197322a57ffff', '89197322a07ffff', '89197322a1bffff', '89197322a8bffff', '89197322a17ffff', '89197322abbffff', '89197322a13ffff', '89197322aabffff', '89197322acfffff', '89197322a47ffff', '89197322a03ffff', '89197322a77ffff', '89197322a3bffff'}",7.0,48.0
89197322a07ffff,"{'89197322a0bffff', '89197322aa3ffff', '89197322a73ffff', '89197322a33ffff', '89197322a23ffff', '89197322a8fffff', '89197322a0fffff', '89197322aafffff', '89197322a1bffff', '89197322a07ffff', '89197322a17ffff', '89197322abbffff', '89197322a13ffff', '89197322a37ffff', '89197322aabffff', '89197322a2bffff', '89197322a03ffff', '89197322a77ffff', '89197322a3bffff'}",16.0,45.0
89197322a0bffff,"{'89197322a0bffff', '89197322ac7ffff', '89197322a3bffff', '89197322a73ffff', '89197322a63ffff', '89197322a0fffff', '89197322a57ffff', '89197322a07ffff', '89197322a1bffff', '89197322a17ffff', '89197322a13ffff', '89197322a43ffff', '89197322a03ffff', '89197322a7bffff', '89197322acfffff', '89197322a47ffff', '89197322a53ffff', '89197322a77ffff', '89197322a4fffff'}",4.0,49.0
89197322a0fffff,"{'89197322a0bffff', '89197322a73ffff', '89197322a63ffff', '89197322a33ffff', '89197322a23ffff', '89197322a0fffff', '89197322a67ffff', '89197322a57ffff', '89197322a1bffff', '89197322a07ffff', '89197322a17ffff', '89197322a13ffff', '89197322a7bffff', '89197322aabffff', '89197322a2bffff', '89197322a47ffff', '89197322a03ffff', '89197322a77ffff', '89197322a3bffff'}",12.0,47.0
89197322a1bffff,"{'89197322a0bffff', '89197322ac3ffff', '89197322ac7ffff', '89197322a73ffff', '89197322a8fffff', '89197322a0fffff', '89197322a57ffff', '89197322a07ffff', '89197322a1bffff', '89197322a8bffff', '89197322a17ffff', '89197322a13ffff', '89197322ad7ffff', '89197322a43ffff', '89197322a03ffff', '89197322acfffff', '89197322acbffff', '89197322a47ffff', '89197322a53ffff'}",1.0,49.0
89197322a33ffff,"{'89197322bdbffff', '89197322aa3ffff', '89197322a33ffff', '89197322a23ffff', '89197322a0fffff', '89197322aafffff', '89197322a07ffff', '89197322a17ffff', '89197322a2fffff', '89197322abbffff', '89197322a37ffff', '89197322bcbffff', '89197322aa7ffff', '89197322aabffff', '89197322a2bffff', '89197322a27ffff', '89197322a03ffff', '89197322a77ffff', '89197322a3bffff'}",1.0,38.0
89197322a43ffff,"{'89197322a0bffff', '89197322a4bffff', '89197322a73ffff', '8919732052fffff', '89197320187ffff', '89197322a57ffff', '89197320527ffff', '891973201b3ffff', '89197322a1bffff', '891973201b7ffff', '89197322a43ffff', '89197322a5bffff', '89197322a7bffff', '89197322acfffff', '89197322acbffff', '89197322a47ffff', '89197322a53ffff', '89197320197ffff', '89197322a4fffff'}",3.0,15.0
89197322a47ffff,"{'89197322a0bffff', '89197322a4bffff', '89197322a73ffff', '89197322a63ffff', '89197322a0fffff', '89197322a57ffff', '891973201b3ffff', '89197322a1bffff', '891973201b7ffff', '89197322a43ffff', '89197322a03ffff', '89197322a7bffff', '89197322a5bffff', '89197322acfffff', '89197322a47ffff', '89197322a6bffff', '89197322a53ffff', '89197322a77ffff', '89197322a4fffff'}",3.0,38.0
89197322a4bffff,"{'89197322a4bffff', '8919732052fffff', '89197320187ffff', '89197322a57ffff', '89197320527ffff', '891973201b3ffff', '8919732018fffff', '891973201b7ffff', '89197322a43ffff', '89197320193ffff', '89197322a5bffff', '89197322a7bffff', '89197320197ffff', '89197322a47ffff', '891973201a3ffff', '89197320183ffff', '891973201bbffff', '89197322a53ffff', '89197322a4fffff'}",1.0,7.0
89197322a6bffff,"{'891973201a7ffff', '891973201afffff', '89197320cc3ffff', '89197322a63ffff', '89197322a73ffff', '89197322a67ffff', '891973201b3ffff', '89197320c9bffff', '891973201b7ffff', '89197320cd3ffff', '89197320cd7ffff', '89197320cdbffff', '89197322a6fffff', '89197322a7bffff', '89197322a47ffff', '891973201a3ffff', '89197322a6bffff', '89197322a77ffff', '89197322a4fffff'}",4.0,23.0
89197322a73ffff,"{'89197322a0bffff', '89197322a3bffff', '89197322a63ffff', '89197322a73ffff', '89197322a0fffff', '89197322a67ffff', '89197322a57ffff', '89197322a07ffff', '89197322a1bffff', '891973201b7ffff', '89197322a43ffff', '89197322a6fffff', '89197322a7bffff', '89197322a2bffff', '89197322a47ffff', '89197322a6bffff', '89197322a03ffff', '89197322a77ffff', '89197322a4fffff'}",3.0,53.0
89197322aa7ffff,"{'89197322bdbffff', '8919732287bffff', '89197322aa3ffff', '8919732286bffff', '89197322bd3ffff', '89197322a33ffff', '89197322863ffff', '89197322ab7ffff', '89197322aafffff', '8919732284fffff', '8919732286fffff', '89197322abbffff', '89197322a37ffff', '89197322bcbffff', '89197322aabffff', '89197322aa7ffff', '89197322ab3ffff', '89197322bd7ffff', '89197322bc3ffff'}",1.0,8.0
89197322ab7ffff,"{'89197322bdbffff', '8919732287bffff', '89197322847ffff', '8919732286bffff', '89197322aa3ffff', '89197322bd3ffff', '89197322a87ffff', '89197322863ffff', '8919732284bffff', '89197322ab7ffff', '89197322aafffff', '8919732284fffff', '89197322873ffff', '8919732286fffff', '89197322abbffff', '89197322843ffff', '89197322aa7ffff', '89197322aabffff', '89197322ab3ffff'}",4.0,7.0
89197322abbffff,"{'89197322aa3ffff', '89197322a33ffff', '89197322a87ffff', '8919732284bffff', '89197322a8fffff', '89197322ab7ffff', '89197322aafffff', '8919732284fffff', '89197322a07ffff', '89197322a97ffff', '89197322a8bffff', '89197322a17ffff', '89197322abbffff', '89197322a13ffff', '89197322a03ffff', '89197322aa7ffff', '89197322aabffff', '89197322ab3ffff', '89197322a83ffff'}",1.0,30.0
89197322b0bffff,"{'89197322b1bffff', '89197322b77ffff', '89197322b07ffff', '89197322bc7ffff', '89197322b17ffff', '89197322b4fffff', '89197322b0bffff', '89197322b13ffff', '89197322b53ffff', '89197322b63ffff', '89197322b3bffff', '89197322b57ffff', '89197322bcfffff', '89197322b03ffff', '89197322b73ffff', '89197322b0fffff', '89197322b47ffff', '89197322b7bffff', '89197322b43ffff'}",1.0,2.0
89197322b8bffff,"{'89197322b97ffff', '89197322b1bffff', '89197322bd3ffff', '89197322b8fffff', '89197322b83ffff', '89197322b9bffff', '89197322bc7ffff', '89197322b17ffff', '89197322b13ffff', '8919732286fffff', '89197322bcfffff', '89197322bbbffff', '89197322b03ffff', '89197322867ffff', '89197322b87ffff', '89197322bd7ffff', '89197322b93ffff', '89197322bc3ffff', '89197322b8bffff'}",2.0,8.0
89197322b8fffff,"{'89197322babffff', '89197322b97ffff', '89197322b1bffff', '89197322b07ffff', '89197322b8fffff', '89197322b83ffff', '89197322b9bffff', '89197322bc7ffff', '8919732294bffff', '89197322b17ffff', '89197322b13ffff', '89197322ba3ffff', '89197322bbbffff', '89197322b03ffff', '89197322bb3ffff', '89197322b87ffff', '89197322bd7ffff', '89197322b93ffff', '89197322b8bffff'}",2.0,7.0
89197322babffff,"{'89197322babffff', '89197322b37ffff', '89197322b07ffff', '89197322b8fffff', '89197322b17ffff', '89197322b23ffff', '89197322b13ffff', '89197322ba3ffff', '89197322b3bffff', '89197322ba7ffff', '89197322bafffff', '89197322bbbffff', '89197322b03ffff', '89197322bb7ffff', '89197322bb3ffff', '89197322b33ffff', '89197322b87ffff', '89197322b0fffff', '891973276dbffff'}",2.0,5.0
89197322bb7ffff,"{'89197322babffff', '89197322943ffff', '891973276d3ffff', '89197322963ffff', '8919732294bffff', '8919732296bffff', '89197322ba3ffff', '89197322ba7ffff', '89197322973ffff', '89197322bafffff', '89197322bbbffff', '89197322bb7ffff', '89197322bb3ffff', '8919732296fffff', '89197322b87ffff', '8919732294fffff', '891973276dbffff', '89197322947ffff', '8919732297bffff'}",1.0,7.0
89197322bc7ffff,"{'89197322bdbffff', '89197322b1bffff', '89197322bd3ffff', '89197322b8fffff', '89197322b83ffff', '89197322b9bffff', '89197322bc7ffff', '89197322b17ffff', '89197322b0bffff', '89197322b53ffff', '8919732286fffff', '89197322b13ffff', '89197322bcfffff', '89197322b57ffff', '89197322b03ffff', '89197322bcbffff', '89197322bd7ffff', '89197322bc3ffff', '89197322b8bffff'}",1.0,6.0
89197322c07ffff,"{'89197322c23ffff', '89197322c73ffff', '89197322c33ffff', '89197322c8fffff', '89197322c0fffff', '89197322c07ffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322c77ffff', '89197322c13ffff', '89197322c0bffff', '89197322cafffff', '89197322c03ffff', '89197322c1bffff', '89197322ca3ffff', '89197322c17ffff', '89197322c2bffff', '89197322cbbffff'}",1.0,230.0
89197322c1bffff,"{'89197322c43ffff', '89197322c73ffff', '89197322c57ffff', '89197322c8fffff', '89197322c0fffff', '89197322c07ffff', '89197322c8bffff', '89197322cc7ffff', '89197322c53ffff', '89197322c13ffff', '89197322ccfffff', '89197322c0bffff', '89197322cc3ffff', '89197322ccbffff', '89197322c03ffff', '89197322cd7ffff', '89197322c1bffff', '89197322c47ffff', '89197322c17ffff'}",2.0,3.0
89197322c23ffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322c67ffff', '89197322d53ffff', '89197322d5bffff', '89197322c07ffff', '89197322c0fffff', '89197322dcbffff', '89197322c3bffff', '89197322cabffff', '89197322897ffff', '89197322c37ffff', '89197322c2fffff', '89197322c77ffff', '89197322ddbffff', '89197322cafffff', '89197322893ffff', '89197322c2bffff'}",48.0,373.0
89197322c27ffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322d53ffff', '89197322d5bffff', '89197322d57ffff', '89197322dcbffff', '89197322c3bffff', '89197322c2bffff', '89197322897ffff', '89197322c37ffff', '89197322c2fffff', '89197322d43ffff', '89197322ddbffff', '89197322cafffff', '89197322dc3ffff', '89197322dcfffff', '89197322893ffff', '89197322d4bffff'}",40.0,372.0
89197322c2bffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c73ffff', '89197322c33ffff', '89197322c67ffff', '89197322d5bffff', '89197322c0fffff', '89197322c07ffff', '89197322c6fffff', '89197322c3bffff', '89197322c37ffff', '89197322897ffff', '89197322c2fffff', '89197322c77ffff', '8919732289bffff', '89197322c63ffff', '89197322883ffff', '89197322893ffff', '89197322c2bffff'}",7.0,294.0
89197322c2fffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322c67ffff', '89197322d53ffff', '89197322d5bffff', '89197322dcbffff', '89197322c3bffff', '89197322c2bffff', '89197322c37ffff', '89197322897ffff', '89197322c77ffff', '89197322c2fffff', '89197322d43ffff', '8919732289bffff', '89197322887ffff', '89197322883ffff', '89197322893ffff', '89197322d4bffff'}",35.0,330.0
89197322c33ffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322c07ffff', '89197322c0fffff', '89197322dcbffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322c2fffff', '89197322c77ffff', '89197322ddbffff', '89197322cafffff', '89197322c03ffff', '89197322ca3ffff', '89197322ca7ffff', '89197322c17ffff', '89197322c2bffff', '89197322cbbffff'}",25.0,338.0
89197322c37ffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322d53ffff', '89197322d5bffff', '89197322c07ffff', '89197322dcbffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322c2fffff', '89197322ddbffff', '89197322cafffff', '89197322dd3ffff', '89197322dc3ffff', '89197322ca3ffff', '89197322dcfffff', '89197322ca7ffff', '89197322c2bffff'}",81.0,384.0
89197322c3bffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c73ffff', '89197322c33ffff', '89197322c67ffff', '89197322c0fffff', '89197322c07ffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322c2fffff', '89197322c77ffff', '89197322c0bffff', '89197322c63ffff', '89197322cafffff', '89197322c03ffff', '89197322893ffff', '89197322c17ffff', '89197322c2bffff'}",7.0,306.0
89197322c4fffff,"{'89197322c43ffff', '89197322eb7ffff', '89197322c5bffff', '89197322c57ffff', '89197322c73ffff', '89197322c7bffff', '89197322ea3ffff', '89197322c6bffff', '89197322eb3ffff', '89197322c4bffff', '89197322c53ffff', '89197322c63ffff', '89197322c0bffff', '89197322ebbffff', '89197322c4fffff', '89197322c47ffff', '89197322e87ffff', '89197322e97ffff', '89197322ea7ffff'}",3.0,23.0
89197322c63ffff,"{'89197322c73ffff', '89197322eb7ffff', '89197322c67ffff', '89197322c7bffff', '89197322c6bffff', '89197322c0fffff', '891973228d7ffff', '89197322893ffff', '89197322c6fffff', '89197322c3bffff', '89197322c77ffff', '8919732289bffff', '89197322c0bffff', '89197322c63ffff', '89197322c4fffff', '89197322c47ffff', '891973228d3ffff', '89197322ea7ffff', '89197322c2bffff'}",1.0,54.0
89197322c67ffff,"{'89197322c23ffff', '89197322c73ffff', '89197322c67ffff', '89197322c7bffff', '89197322c6bffff', '89197322c0fffff', '891973228d7ffff', '8919732288bffff', '89197322c6fffff', '89197322c3bffff', '89197322897ffff', '89197322c2fffff', '89197322c77ffff', '8919732289bffff', '89197322c63ffff', '89197322883ffff', '891973228d3ffff', '89197322893ffff', '89197322c2bffff'}",7.0,141.0
89197322c6bffff,"{'89197322c73ffff', '89197322eb7ffff', '89197322c67ffff', '89197322c7bffff', '89197322ea3ffff', '89197322eb3ffff', '89197322c6bffff', '891973228c3ffff', '891973228d7ffff', '89197322c6fffff', '89197322c77ffff', '8919732289bffff', '89197322c63ffff', '89197322c4fffff', '891973228dbffff', '89197322c47ffff', '891973228d3ffff', '89197322eafffff', '89197322ea7ffff'}",1.0,42.0
89197322c6fffff,"{'89197322c73ffff', '89197322eb7ffff', '89197322c67ffff', '89197322c7bffff', '89197322c6bffff', '891973228c3ffff', '891973228d7ffff', '89197322893ffff', '8919732288bffff', '891973228c7ffff', '89197322c6fffff', '89197322c77ffff', '8919732289bffff', '89197322c63ffff', '891973228dbffff', '89197322883ffff', '891973228d3ffff', '89197322ea7ffff', '89197322c2bffff'}",1.0,57.0
89197322c77ffff,"{'89197322c23ffff', '89197322c73ffff', '89197322c33ffff', '89197322c67ffff', '89197322c7bffff', '89197322c6bffff', '89197322c0fffff', '89197322c07ffff', '89197322c6fffff', '89197322c3bffff', '89197322c2fffff', '89197322c77ffff', '8919732289bffff', '89197322c63ffff', '89197322c0bffff', '89197322c03ffff', '89197322c47ffff', '89197322893ffff', '89197322c2bffff'}",2.0,142.0
89197322c83ffff,"{'8919733522fffff', '89197322c83ffff', '89197322c9bffff', '89197322c8fffff', '89197322c87ffff', '89197322c8bffff', '89197335267ffff', '89197322cc7ffff', '8919733534bffff', '8919733535bffff', '89197322c13ffff', '89197322c93ffff', '8919733526fffff', '89197322c97ffff', '8919733522bffff', '89197322cd7ffff', '89197322cb3ffff', '89197322c17ffff', '89197322cbbffff'}",1.0,11.0
89197322c97ffff,"{'8919733522fffff', '89197322c83ffff', '89197322c9bffff', '89197322c8fffff', '89197335353ffff', '89197322c87ffff', '89197322c8bffff', '89197335267ffff', '8919733534bffff', '8919733535bffff', '89197335223ffff', '89197335343ffff', '89197322c93ffff', '89197322c97ffff', '89197335227ffff', '8919733534fffff', '8919733522bffff', '89197322cb3ffff', '89197322cbbffff'}",2.0,29.0
89197322ca3ffff,"{'89197322c33ffff', '8919733537bffff', '89197322c8fffff', '89197322c87ffff', '89197322c07ffff', '8919733534bffff', '89197322cabffff', '89197322c37ffff', '89197322ddbffff', '89197322cafffff', '8919733534fffff', '89197322dd3ffff', '89197322cb3ffff', '89197322ca3ffff', '89197322cb7ffff', '89197322ca7ffff', '8919733536bffff', '89197322c17ffff', '89197322cbbffff'}",9.0,184.0
89197322cabffff,"{'89197322c23ffff', '89197322c33ffff', '89197322c8fffff', '89197322c87ffff', '89197322c07ffff', '89197322c0fffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322c13ffff', '89197322ddbffff', '89197322cafffff', '89197322c03ffff', '89197322cb3ffff', '89197322ca3ffff', '89197322cb7ffff', '89197322ca7ffff', '89197322c17ffff', '89197322cbbffff'}",24.0,227.0
89197322cafffff,"{'89197322c27ffff', '89197322c23ffff', '89197322c33ffff', '89197322c07ffff', '89197322dcbffff', '89197322c3bffff', '89197322cabffff', '89197322c37ffff', '89197322ddbffff', '89197322cafffff', '89197322dd3ffff', '89197322cb3ffff', '89197322dc3ffff', '89197322ca3ffff', '89197322cb7ffff', '89197322ca7ffff', '8919733536bffff', '89197322c17ffff', '89197322cbbffff'}",22.0,316.0
89197322cb3ffff,"{'89197322c83ffff', '8919733537bffff', '89197322c8fffff', '89197322c87ffff', '8919733534bffff', '89197322cabffff', '8919733535bffff', '89197335343ffff', '89197322cafffff', '89197322c97ffff', '8919733534fffff', '89197322cb3ffff', '89197322ca3ffff', '89197335347ffff', '89197322cb7ffff', '89197322ca7ffff', '8919733536bffff', '89197322c17ffff', '89197322cbbffff'}",1.0,81.0
89197322cbbffff,"{'89197322c33ffff', '89197322c83ffff', '89197322c8fffff', '89197322c87ffff', '89197322c8bffff', '89197322c07ffff', '8919733534bffff', '89197322cabffff', '89197322c13ffff', '89197322cafffff', '89197322c97ffff', '89197322c03ffff', '8919733534fffff', '89197322cb3ffff', '89197322ca3ffff', '89197322cb7ffff', '89197322ca7ffff', '89197322c17ffff', '89197322cbbffff'}",2.0,92.0
89197322d03ffff,"{'89197322dabffff', '89197322d13ffff', '89197322d47ffff', '89197322d73ffff', '89197322d57ffff', '89197322d77ffff', '89197322d0bffff', '89197322dbbffff', '89197322d03ffff', '89197322d1bffff', '89197322dc7ffff', '89197322d17ffff', '89197322d8bffff', '89197322d07ffff', '89197322d8fffff', '89197322d33ffff', '89197322dcfffff', '89197322d0fffff', '89197322d3bffff'}",5.0,39.0
89197322d0bffff,"{'89197322d13ffff', '89197322d7bffff', '89197322d47ffff', '89197322d73ffff', '89197322d53ffff', '89197322d57ffff', '89197322d63ffff', '89197322d77ffff', '89197322d0bffff', '89197322d03ffff', '89197322d1bffff', '89197322dc7ffff', '89197322d43ffff', '89197322d17ffff', '89197322d07ffff', '89197322d4fffff', '89197322d0fffff', '89197322dcfffff', '89197322d3bffff'}",3.0,52.0
89197322d0fffff,"{'89197322dabffff', '89197322d13ffff', '89197322d7bffff', '89197322d73ffff', '89197322d47ffff', '89197322d57ffff', '89197322d77ffff', '89197322d63ffff', '89197322d0bffff', '89197322d03ffff', '89197322d1bffff', '89197322d23ffff', '89197322d17ffff', '89197322d2bffff', '89197322d07ffff', '89197322d67ffff', '89197322d33ffff', '89197322d0fffff', '89197322d3bffff'}",4.0,27.0
89197322d13ffff,"{'89197322dabffff', '89197322d13ffff', '89197322d87ffff', '89197322d9bffff', '89197322d57ffff', '89197322d0bffff', '89197322dbbffff', '89197322d03ffff', '89197322d1bffff', '89197322dc7ffff', '89197322dd7ffff', '89197322d17ffff', '89197322d8bffff', '89197322d83ffff', '89197322d8fffff', '89197322d07ffff', '89197322dc3ffff', '89197322dcfffff', '89197322d0fffff'}",2.0,66.0
89197322d17ffff,"{'89197322dabffff', '89197322d13ffff', '89197322db3ffff', '89197322d87ffff', '89197322da3ffff', '89197322d0bffff', '89197322dbbffff', '89197322d03ffff', '89197322d1bffff', '89197322dc7ffff', '89197322d17ffff', '89197322d8bffff', '89197322d83ffff', '89197322d07ffff', '89197322d8fffff', '89197322dafffff', '89197322d33ffff', '89197322d0fffff', '89197322d3bffff'}",2.0,25.0
89197322d1bffff,"{'89197322d13ffff', '89197322d47ffff', '89197322d53ffff', '89197322d73ffff', '89197322d57ffff', '89197322d0bffff', '89197322d03ffff', '89197322dcbffff', '89197322d1bffff', '89197322dc7ffff', '89197322d43ffff', '89197322dd7ffff', '89197322d17ffff', '89197322d8bffff', '89197322d07ffff', '89197322d8fffff', '89197322dc3ffff', '89197322dcfffff', '89197322d0fffff'}",2.0,102.0
89197322d2bffff,"{'89197322d73ffff', '8919732299bffff', '89197322d77ffff', '89197322d63ffff', '89197322997ffff', '89197335a5bffff', '89197322d27ffff', '89197322d23ffff', '89197322d6fffff', '89197322d2fffff', '89197322983ffff', '89197322d2bffff', '89197322d37ffff', '89197322d67ffff', '89197322993ffff', '89197322d07ffff', '89197322d33ffff', '89197322d0fffff', '89197322d3bffff'}",2.0,32.0
89197322d2fffff,"{'89197322987ffff', '8919732299bffff', '89197322d77ffff', '89197322997ffff', '89197335a5bffff', '89197322d27ffff', '89197335acbffff', '89197322d23ffff', '89197335a53ffff', '89197322d2fffff', '89197322983ffff', '89197322d2bffff', '89197322d37ffff', '89197322d67ffff', '89197322993ffff', '89197335a4bffff', '89197335a43ffff', '89197322d33ffff', '89197322d3bffff'}",1.0,26.0
89197322d43ffff,"{'89197322c27ffff', '89197322d7bffff', '89197322d47ffff', '89197322d53ffff', '89197322d5bffff', '89197322d73ffff', '89197322d57ffff', '89197322d0bffff', '89197322dcbffff', '89197322897ffff', '89197322c2fffff', '89197322d1bffff', '89197322d43ffff', '89197322887ffff', '891973228b3ffff', '891973228b7ffff', '89197322d4fffff', '89197322dcfffff', '89197322d4bffff'}",1.0,158.0
89197322d53ffff,"{'89197322c27ffff', '89197322c23ffff', '89197322d47ffff', '89197322d53ffff', '89197322d5bffff', '89197322d57ffff', '89197322d0bffff', '89197322dcbffff', '89197322897ffff', '89197322c37ffff', '89197322c2fffff', '89197322d1bffff', '89197322dc7ffff', '89197322d43ffff', '89197322ddbffff', '89197322dc3ffff', '89197322d4fffff', '89197322dcfffff', '89197322d4bffff'}",10.0,312.0
89197322d5bffff,"{'89197322c27ffff', '89197322c23ffff', '89197322d47ffff', '89197322d53ffff', '89197322d5bffff', '89197322d57ffff', '89197322dcbffff', '89197322c2bffff', '89197322c37ffff', '89197322897ffff', '89197322c2fffff', '89197322d43ffff', '89197322887ffff', '891973228b3ffff', '89197322883ffff', '89197322d4fffff', '89197322dcfffff', '89197322893ffff', '89197322d4bffff'}",7.0,304.0
89197322d63ffff,"{'89197322d7bffff', '89197322d73ffff', '89197322d47ffff', '8919732299bffff', '89197322d77ffff', '89197322d0bffff', '891973229d3ffff', '89197322d63ffff', '891973228a7ffff', '89197322d6fffff', '89197322d2bffff', '891973228b7ffff', '89197322993ffff', '89197322d67ffff', '89197322d6bffff', '89197322d4fffff', '891973229d7ffff', '89197322d0fffff', '89197322d3bffff'}",5.0,27.0
89197322d67ffff,"{'89197322d7bffff', '89197322d73ffff', '8919732299bffff', '8919732298bffff', '89197322d63ffff', '89197322d77ffff', '891973229d3ffff', '89197322997ffff', '89197322d23ffff', '89197322d6fffff', '89197322d2fffff', '89197322983ffff', '89197322d2bffff', '89197322993ffff', '89197322d6bffff', '89197322d67ffff', '891973229d7ffff', '89197322d0fffff', '89197322d3bffff'}",2.0,32.0
89197322d6fffff,"{'89197322d7bffff', '89197322d73ffff', '8919732299bffff', '8919732298bffff', '89197322d63ffff', '891973229c7ffff', '89197322d77ffff', '891973229d3ffff', '891973228a7ffff', '89197322d6fffff', '89197322983ffff', '89197322d2bffff', '891973228b7ffff', '891973229c3ffff', '89197322d67ffff', '89197322d6bffff', '89197322993ffff', '891973229d7ffff', '891973229dbffff'}",3.0,29.0
89197322d87ffff,"{'89197322d97ffff', '89197322dabffff', '89197322d13ffff', '89197322db3ffff', '89197322d9bffff', '89197335e4fffff', '89197322da3ffff', '89197322d93ffff', '89197335e5bffff', '89197335e43ffff', '89197322d87ffff', '89197322dbbffff', '89197322db7ffff', '8919733532fffff', '89197335e4bffff', '89197322d17ffff', '89197322d8bffff', '89197322d83ffff', '89197322d8fffff'}",1.0,17.0
89197322d8bffff,"{'89197322d97ffff', '89197335367ffff', '89197322d13ffff', '89197322d9bffff', '89197322d87ffff', '89197322d93ffff', '89197322dbbffff', '89197322d03ffff', '89197322d1bffff', '89197322dc7ffff', '89197322dd7ffff', '89197322d17ffff', '8919733536fffff', '89197322d8bffff', '89197322d83ffff', '89197322d8fffff', '89197322dd3ffff', '89197322dc3ffff', '89197322dcfffff'}",3.0,67.0
89197322d93ffff,"{'89197322d97ffff', '89197335367ffff', '89197322d9bffff', '89197322d87ffff', '89197335e5bffff', '89197322d93ffff', '8919733533bffff', '8919733532bffff', '89197335377ffff', '89197335323ffff', '89197322dd7ffff', '8919733532fffff', '89197335e4bffff', '8919733536fffff', '89197322d8bffff', '89197322d83ffff', '89197335363ffff', '89197322d8fffff', '89197335327ffff'}",4.0,52.0
89197322d9bffff,"{'89197322d97ffff', '89197335367ffff', '89197322d13ffff', '89197322d87ffff', '89197322d9bffff', '89197322d93ffff', '8919733532bffff', '89197322dc7ffff', '89197335377ffff', '89197322dd7ffff', '8919733532fffff', '8919733536fffff', '89197322d8bffff', '89197322d83ffff', '89197335363ffff', '89197322dd3ffff', '89197322d8fffff', '89197322dc3ffff', '8919733536bffff'}",2.0,65.0
