local_tile,local_tiles,density,local_density
8919732014fffff,"{'89197320157ffff', '89197320153ffff', '8919732014bffff', '89197320173ffff', '8919732014fffff', '8919732010bffff', '89197320143ffff', '891973203bbffff', '89197320397ffff', '8919732017bffff', '8919732016bffff', '891973203a7ffff', '8919732015bffff', '891973203b3ffff', '89197320163ffff', '89197320147ffff', '89197320387ffff', '891973203a3ffff', '891973203b7ffff'}",1.0,15.0
89197320173ffff,"{'89197320157ffff', '8919732012bffff', '89197320173ffff', '8919732014fffff', '8919732010bffff', '8919732011bffff', '89197320143ffff', '89197320167ffff', '89197320177ffff', '8919732017bffff', '8919732016bffff', '89197320107ffff', '89197320163ffff', '8919732016fffff', '8919732010fffff', '89197320147ffff', '89197320103ffff', '8919732013bffff', '891973203b7ffff'}",3.0,6.0
8919732019bffff,"{'89197320113ffff', '8919732018bffff', '89197320567ffff', '8919732052fffff', '89197320187ffff', '891973201c7ffff', '8919732052bffff', '8919732018fffff', '8919732019bffff', '891973201d3ffff', '89197320577ffff', '89197320193ffff', '891973201d7ffff', '89197320563ffff', '8919732056bffff', '89197320183ffff', '8919732056fffff', '891973201c3ffff', '89197320197ffff'}",1.0,4.0
891973201a7ffff,"{'891973201afffff', '891973201a7ffff', '89197320137ffff', '89197320cc3ffff', '89197322a63ffff', '89197320ccbffff', '891973201b3ffff', '891973201b7ffff', '89197320cd3ffff', '89197320cd7ffff', '891973201abffff', '89197320cdbffff', '89197322a6fffff', '89197322a7bffff', '891973201a3ffff', '891973201bbffff', '89197322a6bffff', '89197320133ffff', '89197322a4fffff'}",7.0,17.0
891973201afffff,"{'891973201a7ffff', '891973201afffff', '89197320133ffff', '89197320137ffff', '89197320cc3ffff', '89197320127ffff', '89197320ccbffff', '891973201b3ffff', '89197320123ffff', '891973201b7ffff', '89197320cd3ffff', '89197320107ffff', '89197320cdbffff', '891973201a3ffff', '8919732013bffff', '891973201bbffff', '89197322a6bffff', '89197320117ffff', '891973201abffff'}",1.0,17.0
891973201cbffff,"{'89197320157ffff', '89197320153ffff', '8919732011bffff', '89197320143ffff', '891973201dbffff', '891973200afffff', '89197320033ffff', '891973201d3ffff', '8919732015bffff', '89197320023ffff', '89197320027ffff', '891973201cbffff', '891973201d7ffff', '89197320037ffff', '8919732002fffff', '891973201cfffff', '891973201c3ffff', '891973201c7ffff', '891973200a7ffff'}",4.0,8.0
891973201cfffff,"{'89197320157ffff', '8919732018bffff', '89197320153ffff', '8919732010bffff', '8919732011bffff', '89197320143ffff', '891973201dbffff', '891973201d3ffff', '8919732015bffff', '891973201cbffff', '89197320027ffff', '891973201d7ffff', '89197320037ffff', '89197320147ffff', '89197320103ffff', '891973201cfffff', '89197320113ffff', '891973201c3ffff', '891973201c7ffff'}",1.0,8.0
891973201d3ffff,"{'8919732018bffff', '89197320567ffff', '8919732057bffff', '891973200a3ffff', '891973201dbffff', '891973200b7ffff', '8919732019bffff', '891973200afffff', '891973201d3ffff', '891973201cbffff', '891973201d7ffff', '89197320563ffff', '8919732056bffff', '89197320037ffff', '891973201cfffff', '8919732056fffff', '891973201c3ffff', '891973201c7ffff', '891973200a7ffff'}",1.0,7.0
89197320203ffff,"{'8919732021bffff', '891973202c7ffff', '8919732020bffff', '89197320207ffff', '89197320257ffff', '89197320233ffff', '89197320203ffff', '8919732023bffff', '89197320277ffff', '891973202abffff', '89197320213ffff', '8919732028fffff', '89197320247ffff', '89197320273ffff', '891973202cfffff', '8919732028bffff', '89197320217ffff', '891973202bbffff', '8919732020fffff'}",2.0,6.0
89197320207ffff,"{'8919732021bffff', '8919732020bffff', '89197320207ffff', '89197320233ffff', '89197320203ffff', '8919732023bffff', '891973202afffff', '89197320277ffff', '891973202abffff', '89197320213ffff', '89197320237ffff', '8919732028fffff', '89197320273ffff', '891973202a3ffff', '89197320223ffff', '8919732022bffff', '89197320217ffff', '891973202bbffff', '8919732020fffff'}",1.0,6.0
8919732020bffff,"{'8919732021bffff', '8919732024fffff', '891973202c7ffff', '8919732020bffff', '89197320207ffff', '89197320253ffff', '89197320257ffff', '89197320203ffff', '8919732023bffff', '89197320277ffff', '89197320213ffff', '89197320247ffff', '89197320273ffff', '89197320243ffff', '89197320263ffff', '891973202cfffff', '8919732027bffff', '89197320217ffff', '8919732020fffff'}",1.0,5.0
89197320213ffff,"{'8919732021bffff', '891973202c7ffff', '891973202d7ffff', '8919732020bffff', '89197320287ffff', '89197320207ffff', '89197320257ffff', '8919732029bffff', '89197320203ffff', '89197320283ffff', '891973202c3ffff', '8919732028fffff', '891973202abffff', '89197320213ffff', '891973202cfffff', '8919732028bffff', '89197320217ffff', '891973202bbffff', '8919732020fffff'}",1.0,6.0
891973202abffff,"{'89197320287ffff', '89197320207ffff', '89197320233ffff', '89197320203ffff', '891973202a7ffff', '8919732023bffff', '891973203dbffff', '891973202b7ffff', '891973202afffff', '891973202b3ffff', '8919732028fffff', '89197320213ffff', '89197320237ffff', '891973202abffff', '891973202a3ffff', '89197320223ffff', '89197320217ffff', '891973202bbffff', '8919732020fffff'}",1.0,8.0
891973202b7ffff,"{'8919732007bffff', '89197320063ffff', '89197320287ffff', '89197320047ffff', '891973202a7ffff', '8919732004fffff', '891973202b3ffff', '891973203dbffff', '891973202afffff', '8919732006fffff', '891973202b7ffff', '891973202abffff', '891973202a3ffff', '89197320073ffff', '8919732004bffff', '89197320043ffff', '891973203d3ffff', '891973202bbffff', '8919732006bffff'}",2.0,9.0
89197320387ffff,"{'89197320317ffff', '8919732039bffff', '8919732014bffff', '8919732014fffff', '89197320143ffff', '891973203bbffff', '89197320397ffff', '89197320313ffff', '891973203abffff', '89197320383ffff', '8919732015bffff', '8919732038bffff', '891973203b3ffff', '8919732038fffff', '8919732002fffff', '89197320387ffff', '891973203a3ffff', '891973203b7ffff', '89197320393ffff'}",1.0,12.0
